ARMO_FormID	ARMO_EDID	ARMO_FULL	BOD2_FirstPersonFlags	BOD2_FirstPersonFlagLabels	Keywords_EDID_Flat
00512DAB	SkinScorchBeastQueen		33	BODY	
0051AC22	Clothes_NurseUniform1	Nurse Uniform	57	Coverall	
0051B614	CreatureClothes_FeralGhoulGolfPants		36	[U] Torso	
0051B61B	CreatureClothes_FeralGhoulCaptainsHat		30|46	Hair Top|Headband	
0051B61D	CreatureClothes_FeralGhoulGlasses		47	Eyes	
0051B61F	CreatureClothes_FeralGhoulGolfHat		30|46	Hair Top|Headband	
0051B621	CreatureClothes_FeralGhoulVisor		30	Hair Top	
0051B619	CreatureClothes_FeralGhoulBackwardCap		30	Hair Top	
0051B612	CreatureClothes_FeralGhoulGolfSkirt		41	[A] Torso	
0051B616	CreatureClothes_FeralGhoulGolfShorts		36	[U] Torso	
00521269	ZZZ_DONTPLACEClothes_Backpack_Vault_DefaultBrown	Vault Backpack	54	Backpack	
00521262	zzz_DONTPLACEClothes_Backpack_Normal_Yellow	Backpack	54	Backpack	
00521263	zzz_DONTPLACEClothes_Backpack_Vault_Aqua	Vault Backpack	54	Backpack	
0052126A	zzz_DONTPLACEClothes_Backpack_Vault_Green	Vault Backpack	54	Backpack	
0052126B	zzz_DONTPLACEClothes_Backpack_Vault_Pink	Vault Backpack	54	Backpack	
0052125A	zzz_DONTPLACEClothes_Backpack_Normal_Green	Backpack	54	Backpack	
00521257	zzz_DONTPLACEClothes_Backpack_Normal_Aqua	Backpack	54	Backpack	
00521261	zzz_DONTPLACEClothes_Backpack_Normal_White	Backpack	54	Backpack	
0052125C	zzz_DONTPLACEClothes_Backpack_Normal_Blue	Backpack	54	Backpack	
0052126C	ZZZ_DONTPLACEClothes_Backpack_Vault_Red	Vault Backpack	54	Backpack	
0052126E	zzz_DONTPLACEClothes_Backpack_Vault_Yellow	Vault Backpack	54	Backpack	
0052126D	ZZZ_DONTPLACEClothes_Backpack_Vault_White	Vault Backpack	54	Backpack	
00521260	ZZZ_DONTPLACEClothes_Backpack_Normal_Red	Backpack	54	Backpack	
0052125F	zzz_DONTPLACEClothes_Backpack_Normal_Pink	Backpack	54	Backpack	
0052125E	zzz_DONTPLACEClothes_Backpack_Normal_DefaultBrown	Backpack	54	Backpack	
00521267	zzz_DONTPLACEClothes_Backpack_Vault_Blue	Vault Backpack	54	Backpack	
00527F7E	zzz_Debug_Legendary4_Armor_Combat_Torso_OnMeleeHitFreeze	Junk	41	[A] Torso	
00529E09	CreatureClothes_IntelOfficerScorchedBackpack	Intel Officer	41	[A] Torso	
00529DF7	CreatureClothes_FeralGhoulMilitaryOfficer		36	[U] Torso	
00529DFF	CreatureClothes_FeralGhoulMilitaryOfficerBackpack		41	[A] Torso	
00529E0B	CreatureClothes_MilitaryOfficerScorched	MilitaryOfficer	33|34|35|36|37|38|39|40	BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
00529E02	CreatureClothes_SpecialForcesScorched_Underarmor	Special Forces	33|34|35|36|37|38|39|40	BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
00529DF3	CreatureClothes_FeralGhoulIntelOfficer		36	[U] Torso	
00529E00	CreatureClothes_FeralGhoulSpecialForcesBackpack		36	[U] Torso	
00529E0D	CreatureClothes_MilitaryOfficerScorchedBackpack	Special Forces	41	[A] Torso	
00529DFE	CreatureClothes_FeralGhoulIntelOfficerBackpack		41	[A] Torso	
00529E07	CreatureClothes_SpecialForcesScorchedBackpack	Special Forces	41	[A] Torso	
00529DFB	CreatureClothes_FeralGhoulSpecialForcesOutfit		41	[A] Torso	
0052CA3A	zzz_DEBUG_ATX_Headwear_FlightHelmetRed	TEST Red Flight Helmet DO NOT BUG	30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
00530BBA	zzz_TEST_Pipboy2_gold	Pipboy2000_gold	60	Pipboy	
0053557D	DLC04_SkinRadAnt_Scorched		33	BODY	
0053557F	SkinRaiderDogScorched		33	BODY	
0053557A	SkinBloodbugScorched		32|59|60|61	FaceGen Head|Shield|Pipboy|FX	
0053557B	DLC04_SkinRadRatScorched		33	BODY	
0053557C	SkinMirelurkSpawnScorched		33	BODY	
00535580	POST_SkinSupermutantBehemoth_Scorched		33|61	BODY|FX	
0053557E	SkinRadRoachScorched		33	BODY	
001D2773	SkinScorchedHead01		32	FaceGen Head	
001CB74B	zzz_DEBUG_ATX_Headwear_RangerOutfitHatClean	Ranger Hat Clean	30	Hair Top	
001CB7C5	zzz_DEBUG_ATX_Clothes_RangerOutfitClean	Ranger Outfit Clean	57	Coverall	
001A7AB0	zzz_Debug_Legendary4_Armor_Combat_Torso_ReflectMelee	Junk	41	[A] Torso	
00302C06	SkinScorchedHead03		32	FaceGen Head	
003030A4	SkinScorchedHead		32	FaceGen Head	
0030305D	SkinScorchedHead02		32	FaceGen Head	
0051C959	Clothes_Responders_FirebreatherUniform_NotPlayable		57	Coverall	
0051C958	Headwear_Responders_FirebreatherHat_NotPlayable		30|31|32|46|47|48|49	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth	
00527D5C	CUT_ATX_Cloth_Patriot	Patriot OutFit	30|31|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49	Hair Top|Hair Long|BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg|[A] Torso|[A] L Arm|[A] R Arm|[A] L Leg|[A] R Leg|Headband|Eyes|Beard|Mouth	
0037924E	ATX_Headwear_VaultBoy_Tricentennial	Patriotic Vault Boy Mask	30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
003B7DAA	Headwear_Metal_Shades_NotPlayable		47	Eyes	
003B7D7D	Clothes_Wastelander_Light_NotPlayable		57	Coverall	
003B7D69	Headwear_RangerOutfitHat_NotPlayable		30|46	Hair Top|Headband	
003B7DA7	Headwear_Raider_GreenHood_NotPlayable		30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
003B7D7B	Armor_Wastelander_Medium_NONPLAYABLE		57	Coverall	
003B7D9A	Clothes_BoS_Science_Scribe_NotPlayable		57	Coverall	
003B7D96	Clothes_BoS_Engineer_Scribe_NotPlayable		57	Coverall	
003B7D70	Clothes_HalloweenCostume01_Witch_NotPlayable		57	Coverall	
003B7D6D	Headwear_CultHat_NotPlayable		30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
003B7D64	Clothes_Responders_Jumpsuit_Paramedic_NotPlayable		57	Coverall	
003B7D9E	Clothes_DLC03_FishermanOutfit01_NotPlayable		57	Coverall	
003B7D95	Headwear_BoS_Knight_Lancer_Helmet_NotPlayable		30|31|46|47	Hair Top|Hair Long|Headband|Eyes	
003B7D87	Headwear_Resident3Hat_NONPLAYABLE		30|46	Hair Top|Headband	
003B7D86	Clothes_WastelandCommon_NotPlayable		57	Coverall	
003B7D6A	Clothes_PostmanPostwar_NotPlayable		57	Coverall	
003B7D84	Clothes_Resident6_NONPLAYABLE		30|31|57	Hair Top|Hair Long|Coverall	
003B7D6E	Headwear_CultHat_D_NotPlayable		30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
003B7D82	Clothes_Resident4_NONPLAYABLE		57	Coverall	
003B7D80	Clothes_Raider_Suit_02B_GlovesC_NotPlayable		57	Coverall	
003B7D83	Clothes_Resident5_NONPLAYABLE		57	Coverall	
003B7DA5	Clothes_MilitaryFatigues_NotPlayable		57	Coverall	
003B7DA9	Headwear_Raider_Gasmask_NotPlayable		47|48|49	Eyes|Beard|Mouth	
003B7DAE	Headwear_BandanaCamo_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7D85	Clothes_Resident7_NONPLAYABLE		57	Coverall	
003B7D67	Clothes_Pastor_NotPlayable		57	Coverall	
003B7D98	Clothes_BoS_Field_Scribe_NotPlayable		57	Coverall	
003B7DB2	Headwear_BandanaRed_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7D9F	Clothes_DLC03_FishermanOutfit02_NotPlayable		57	Coverall	
003B7DB0	Headwear_BandanaLeopard_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7D8C	Headwear_EnclaveOfficerHat_NotPlayable		30|46	Hair Top|Headband	
003B7DAC	Headwear_Raider_SurgicalMask_NotPlayable		48|49	Beard|Mouth	
003B7DAD	Headwear_BandanaBlue_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7DAF	Headwear_BandanaGreen_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7D63	Clothes_Responders_FiremanUniform_NotPlayable		57	Coverall	
003B7D8B	Clothes_EnclaveOfficerUniform_NotPlayable		57	Coverall	
003B7DA8	Headwear_Raider_Hood_NotPlayable		30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
003B7DA0	Clothes_DLC04_NukaWorldLogo_ShirtAndPants_03_NotPlayable		57	Coverall	
003B7D72	Clothes_HalloweenCostume03_Vampire_NotPlayable		57	Coverall	
003B7D6F	Headwear_CultHat_E_NotPlayable		30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
003B7D71	Clothes_HalloweenCostume02_Skeleton_NotPlayable		57	Coverall	
003B7D8D	Armor_Enclave_Underarmor_Uniform_NotPlayable		33|34|35|36|37|38|39|40	BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003B7D75	Armor_RaiderMod_Underarmor_Harness_NotPlayable		33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003B7D93	Armor_EnclaveScoutUniform_Torso_NotPlayable		41	[A] Torso	
003B7D5F	Clothes_CivilWarEraSuit_NONPLAYABLE		57	Coverall	
003B7D94	Clothes_BoS_Knight_Lancer_NotPlayable		57	Coverall	
003B7D92	Armor_EnclaveScoutUniform_LegRight_NotPlayable		45	[A] R Leg	
003B7D90	Armor_EnclaveScoutUniform_ArmRight_NotPlayable		43	[A] R Arm	
003B7D97	Headwear_BoS_Engineer_Scribe_Helmet_NotPlayable		30|31|46	Hair Top|Hair Long|Headband	
003B7D8E	Armor_Enclave_Underarmor_Uniform_02_NotPlayable		33|34|35|36|37|38|39|40	BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003B7D79	Clothes_Wastelander_Heavy_NONPLAYABLE		57	Coverall	
003B7D65	Headwear_Responders_CopHat_NotPlayable		30|46	Hair Top|Headband	
003B7D6B	Headwear_PostmanHatPostwar_NotPlayable		30|46	Hair Top|Headband	
003B7DB5	Headwear_BandanaStripes_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7DA3	Clothes_Jumpsuit_ForestCamo_NotPlayable		57	Coverall	
003B7DA4	Clothes_MinerUniform_NotPlayable		57	Coverall	
003B7D7E	Clothes_Raider_Suit_01_GlovesB_NotPlayable		57	Coverall	
003B7D88	Headwear_Resident4Hat_NONPLAYABLE		30|46	Hair Top|Headband	
003B7D7A	Clothes_Wastelander_Heavy_With_Helmet_NONPLAYABLE		30|31|46|47|48|49|50|52|57	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth|Neck|Scalp|Coverall	
003B7D77	Armor_RaiderMod_Underarmor_RaiderLeathers_NotPlayable		33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003B7DAB	Headwear_Raider_Goggles_NotPlayable		47	Eyes	
003B7D61	Clothes_FatiguesPostWar_NotPlayable		57	Coverall	
003B7DB1	Headwear_BandanaMonkey_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7D74	Headwear_HalloweenCostume02Hat_Skull_NotPlayable		30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
003B7D76	Armor_RaiderMod_Underarmor_LongJohns_NotPlayable		33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003B7D66	Headwear_Responders_FiremanHat_NotPlayable		30|31|32|46|47|48|49	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth	
003B7D73	Headwear_HalloweenCostume01Hat_Witch_NotPlayable		30|46	Hair Top|Headband	
003B7D8A	Headwear_Resident7Hat_NONPLAYABLE		30|46	Hair Top|Headband	
003B7D60	Headwear_CivilWarEraHat_NONPLAYABLE		30|46	Hair Top|Headband	
003B7D91	Armor_EnclaveScoutUniform_LegLeft_NotPlayable		44	[A] L Leg	
003B7DB3	Headwear_BandanaSkull_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7DA2	Clothes_GreaserJacket_NotPlayable		57	Coverall	
003B7D9B	Headwear_BoS_Science_Scribe_Helmet_NotPlayable		30|31|46	Hair Top|Hair Long|Headband	
003B7DA1	Clothes_DLC04_Western_03_NotPlayable		57	Coverall	
003B7D89	Headwear_Resident5Hat_NONPLAYABLE		30|31|46	Hair Top|Hair Long|Headband	
003B7D7C	Clothes_Wastelander_Medium_With_Helmet_NONPLAYABLE		30|31|46|47|48|49|50|57	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth|Neck|Coverall	
003B7D7F	Clothes_Raider_Suit_02A_GlovesC_NotPlayable		57	Coverall	
003B7D78	Armor_RaiderMod_Underarmor_RoadLeathers_NotPlayable		33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003B7DA6	Headwear_Raider_GreenHoodGasmask_NotPlayable		30|31|46|47|48|49|50	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth|Neck	
003B7D81	Clothes_Resident3_NONPLAYABLE		57	Coverall	
003B7D62	Clothes_Responders_CopUniform_NotPlayable		57	Coverall	
003B7DB4	Headwear_BandanaStarsNStripes_NotPlayable		48|49|50	Beard|Mouth|Neck	
003B7D9D	Armor_BoS_Soldier_Underarmor_NotPlayable		33|34|35|36|37|38|39|40	BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003B7D68	Clothes_RangerOutfit_NotPlayable		57	Coverall	
003B7D6C	Clothes_CultOutfit_NotPlayable		57	Coverall	
003B7D99	Headwear_BoS_Field_Scribe_Helmet_NotPlayable		30|31|46	Hair Top|Hair Long|Headband	
003B7D9C	Clothes_BoS_Soldier_NONPLAYABLE		57	Coverall	
003B7D8F	Armor_EnclaveScoutUniform_ArmLeft_NotPlayable		42	[A] L Arm	
004F613D	SkinMutatedWolfPackLeader		33	BODY	
0037E115	ATX_Headwear_BlackRimSunGlasses	Black-Rim Sun Glasses	47	Eyes	
002B71D5	SkinSuperMutantGlowing		33	BODY	
002B723D	ATX_Clothes_AmericanPatriotSuitClean_Tricentennial	American Patriot Suit	57	Coverall	
002B723B	ATX_Headwear_AmericanPatriotHat_Tricentennial	Worn American Patriot Hat	30|46	Hair Top|Headband	
002B7239	ATX_Clothes_AmericanPatriotSuit_Tricentennial	Worn American Patriot Suit	57	Coverall	
002B723F	ATX_Headwear_AmericanPatriotHatClean_Tricentennial	American Patriot Hat	30|46	Hair Top|Headband	
003D7527	Armor_Casual_Underarmor_FlannelJeans_NotPlayable		33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003D7526	Armor_Casual_Underarmor_ShirtJeans_NotPlayable		33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
003D7524	Clothes_Wastelander_02_Hood_GlovesB_NotPlayable		57	Coverall	
003D7525	Clothes_Wastelander_01_GlovesA_NotPlayable		57	Coverall	
003A178E	Clothes_PreWarDress_Clean_NotPlayable		57	Coverall	
0051EC73	Clothes_FiremanUniform_NONPLAYABLE		57	Coverall	
0051EC74	Clothes_Bathrobe_NotPlayable		57	Coverall	
003D006B	ProtectronHeadDamageA		61	FX	
0050B491	SkinScorchedStatue		33	BODY	
0050C654	ATX_Headwear_StrawHat	Straw Hat	30|46	Hair Top|Headband	
0050E3E9	Armor_VaultSuit94_Underarmor_NotPlayable		33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
004F9026	ATX_Headwear_2076AmericanGlasses	2076 American Glasses	47	Eyes	
004F944F	ZZZ_Armor_PowerArmor_WarRider_LegRight	WarRider Right Leg	45	[A] R Leg	
004F944D	ZZZ_Armor_PowerArmor_WarRider_Helmet	WarRider Helm	30|31|32|46|47|48|49|50|52	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth|Neck|Scalp	
004F944B	ZZZ_Armor_PowerArmor_WarRider_ArmLeft	WarRider Left Arm	42	[A] L Arm	
004F9450	ZZZ_Armor_PowerArmor_WarRider_Torso	WarRider Chest Piece	41	[A] Torso	
004F944E	ZZZ_Armor_PowerArmor_WarRider_LegLeft	WarRider Left Leg	44	[A] L Leg	
004F944C	ZZZ_Armor_PowerArmor_WarRider_ArmRight	WarRider Right Arm	43	[A] R Arm	
004301D9	ATX_Headwear_Unstoppables_SilverShroud_Fedora	Silver Shroud's Fedora	30|46	Hair Top|Headband	
0043181B	Armor_OldRing	Old Ring	51	Ring	
00434550	ATX_Headwear_DoctorsScrubsHat	Medical Scrubs Cap	30|31|46	Hair Top|Hair Long|Headband	
0043454C	CUT_ATX_Clothes_DoctorsScrubs	Doctor's Scrubs	57	Coverall	
00434548	ATX_Clothes_DoctorsScrubs	Medical Scrubs	57	Coverall	
0043454F	CUT_ATX_Headwear_DoctorsScrubsHat	Doctor's Scrubs Hat	30|31|46	Hair Top|Hair Long|Headband	
004347C5	CUT_ATX_Clothes_AmericanDaredevilSuit	American Daredevil Suit	57	Coverall	
004347C7	ATX_Clothes_AmericanDaredevilSuit	Daredevil Suit	57	Coverall	
00434DDC	ATX_Headwear_DoctorsMask	Medical Smile Mask	48|49	Beard|Mouth	
00434DDB	CUT_ATX_Headwear_DoctorsMask	Doctor's Mask	48|49	Beard|Mouth	
00437F1F	ATX_Clothes_VaultTecScientistTRAILER	Vault-Tec Lab Coat	57	Coverall	
00439225	ATX_Clothes_GreaserJacketLeather	Leather Greaser Jacket and Jeans	57	Coverall	
00439224	CUT_ATX_Clothes_GreaserJacketLeather	Leather Greaser Jacket	57	Coverall	
004395E0	CUT_ATX_Clothes_FishingOutfit	Fishing Outfit	57	Coverall	
004395E6	ATX_Headwear_FishingOutfitHat	Fly-Fishing Hat	30|46	Hair Top|Headband	
004395E5	CUT_ATX_Headwear_FishingOutfitHat	Fishing Outfit Hat	30|46	Hair Top|Headband	
004395E2	ATX_Clothes_FishingOutfit	Fishing Outfit	57	Coverall	
00439D13	ATX_Clothes_Pajamas_2Piece	Two-Piece Pajamas	57	Coverall	
00439D12	CUT_ATX_Clothes_Pajamas2Piece	Two Piece Pajamas	57	Coverall	
00439DD0	ATX_Headwear_FloppySunHat	Sun Hat	30|46	Hair Top|Headband	
00439DCF	CUT_ATX_Headwear_FloppySunHat	Floppy Sun Hat	30|46	Hair Top|Headband	
00439EFF	ATX_Headwear_ClocheHat	Cloche Hat	30|31|46	Hair Top|Hair Long|Headband	
00439EFE	CUT_ATX_Headwear_ClocheHat	Cloche Hat	30|31|46	Hair Top|Hair Long|Headband	
0043A963	CUT_ATX_Headwear_Monocle	Clean Monocle	47	Eyes	
0043A95D	CUT_ATX_Headwear_PillboxHat	Pillbox Hat	30|31|46	Hair Top|Hair Long|Headband	
0043A95E	ATX_Headwear_PillboxHat	Pillbox Hat	30|31|46	Hair Top|Hair Long|Headband	
0043A962	ATX_Headwear_Monocle	Monocle	47	Eyes	
0043B31F	zzz_debug_Armor_PowerArmor_X01_Torso	Playtest X-01 Torso	41	[A] Torso	
0043B313	zzz_Debug_Legendary1_Armor_Marine_ArmLeft_LessDmgScorched	Junk	42	[A] L Arm	
0043B315	zzz_Debug_Legendary1_Armor_Marine_LegLeft_LessDmgScorched	Junk	44	[A] L Leg	
0043B317	zzz_Debug_Legendary1_Armor_Marine_Torso_LessDmgScorched	Junk	41	[A] Torso	
0043B31E	zzz_debug_Armor_PowerArmor_X01_ArmRight	Playtest X-01 Right Arm	43	[A] R Arm	
0043B321	zzz_debug_Armor_PowerArmor_X01_LegRight	Playtest X-01 Right Leg	45	[A] R Leg	
0043B316	zzz_Debug_Legendary1_Armor_Marine_LegRight_LessDmgScorched	Junk	45	[A] R Leg	
0043B322	zzz_debug_Armor_PowerArmor_X01_Helmet	Playtest X-01 Helm	30|31|32|46|47|48|49|50|52	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth|Neck|Scalp	
0043B31D	zzz_debug_Armor_PowerArmor_X01_ArmLeft	Playtest X-01 Left Arm	42	[A] L Arm	
0043B320	zzz_debug_Armor_PowerArmor_X01_LegLeft	Playtest X-01 Left Leg	44	[A] L Leg	
0043B314	zzz_Debug_Legendary1_Armor_Marine_ArmRight_LessDmgScorched	Junk	43	[A] R Arm	
0043B757	zzz_Debug_Legendary1_Armor_Combat_LegRight_Bolstering	Junk	45	[A] R Leg	
0043B754	zzz_Debug_Legendary1_Armor_Combat_ArmLeft_Bolstering	Junk	42	[A] L Arm	
0043B753	zzz_Debug_Legendary1_Armor_Combat_Torso_Bolstering	Junk	41	[A] Torso	
0043B755	zzz_Debug_Legendary1_Armor_Combat_ArmRight_Bolstering	Junk	43	[A] R Arm	
0043B756	zzz_Debug_Legendary1_Armor_Combat_LegLeft_Bolstering	Junk	44	[A] L Leg	
0043BA25	zzz_Debug_Legendary2_Armor_Marine_ArmLeft_Mutants	Junk	42	[A] L Arm	
0043BA23	zzz_Debug_Legendary2_Armor_Combat_Torso_Mutants	Junk	41	[A] Torso	
0043BA27	zzz_Debug_Legendary2_Armor_Marine_LegLeft_Mutants	Junk	44	[A] L Leg	
0043BA26	zzz_Debug_Legendary2_Armor_Marine_ArmRight_Mutants	Junk	43	[A] R Arm	
0043BA24	zzz_Debug_Legendary2_Armor_Marine_Torso_Mutants	Junk	41	[A] Torso	
0043BA28	zzz_Debug_Legendary2_Armor_Marine_LegRight_Mutants	Junk	45	[A] R Leg	
0043E171	zzz_TEST_Armor_Leather_LegLeft_Legendary1_Weightless	Leather Left Leg	44	[A] L Leg	
00441A91	ATX_Headwear_FruitHat	Fruit Hat	30|31|46	Hair Top|Hair Long|Headband	
004428F9	zzz_debug_Armor_Combat_LegRight	Balance Combat Armor Right Leg	45	[A] R Leg	
004428F1	zzz_debug_Armor_RaiderMod_LegLeft	Balance Raider Left Leg	44	[A] L Leg	
004428F0	zzz_debug_Armor_RaiderMod_ArmRight	Balance  Raider Right Arm	43	[A] R Arm	
004428F8	zzz_debug_Armor_Combat_LegLeft	Balance Combat Armor Left Leg	44	[A] L Leg	
004428FE	zzz_debug_Armor_Metal_LegRight	Balance Metal Right Leg	45	[A] R Leg	
004428F6	zzz_debug_Armor_Combat_ArmLeft	Balance Combat Armor Left Arm	42	[A] L Arm	
004428FC	zzz_debug_Armor_Metal_ArmRight	Balance Metal Right Arm	43	[A] R Arm	
004428F2	zzz_debug_Armor_RaiderMod_LegRight	Balance Raider Right Leg	45	[A] R Leg	
004428FA	zzz_debug_Armor_Combat_Torso	Balance Combat Armor Chest Piece	41	[A] Torso	
00442907	zzz_debug_Armor_Sturdy_Combat_Torso	Balance Sturdy Combat Armor Chest Piece	41	[A] Torso	
00442904	zzz_debug_Armor_Sturdy_Combat_ArmRight	Balance Sturdy Combat Armor Right Arm	43	[A] R Arm	
00442903	zzz_debug_Armor_Sturdy_Combat_ArmLeft	Balance Sturdy Combat Armor Left Arm	42	[A] L Arm	
004428EF	zzz_debug_Armor_RaiderMod_ArmLeft	Balance Raider Left Arm	42	[A] L Arm	
004428FF	zzz_debug_Armor_Metal_Torso	Balance Metal Chest Piece	41	[A] Torso	
004428F3	zzz_debug_Armor_RaiderMod_Torso	Balance Raider Chest Piece	41	[A] Torso	
004428FB	zzz_debug_Armor_Metal_ArmLeft	Balance Metal Left Arm	42	[A] L Arm	
00442905	zzz_debug_Armor_Sturdy_Combat_LegLeft	Balance Sturdy Combat Armor Left Leg	44	[A] L Leg	
004428F7	zzz_debug_Armor_Combat_ArmRight	Balance Combat Armor Right Arm	43	[A] R Arm	
004428FD	zzz_debug_Armor_Metal_LegLeft	Balance Metal Left Leg	44	[A] L Leg	
00442906	zzz_debug_Armor_Sturdy_Combat_LegRight	Balance Sturdy Combat Armor Right Leg	45	[A] R Leg	
0044D403	Headwear_VaultTecSecurityHelmet_NotPlayable		30|31|46	Hair Top|Hair Long|Headband	
0044D3FF	Clothes_PrewarHouseDress_Pink_Clean_NONPLAYABLE		57	Coverall	
0044D3FE	Clothes_PrewarHouseDress_Cream_Clean_NONPLAYABLE		57	Coverall	
0044D401	Clothes_PrewarSweaterVest_Clean_NONPLAYABLE		57	Coverall	
0044D400	Clothes_SummerShorts_NotPlayable		57	Coverall	
0044D3FD	Clothes_PrewarHouseDress_Blue_Clean_NONPLAYABLE		57	Coverall	
0045019D	ATX_Headwear_FezHatClean	Fez	30|46	Hair Top|Headband	
0045019C	CUT_ATX_Headwear_FezHat	Fez Hat	30|46	Hair Top|Headband	
00450193	ATX_Headwear_AntlerHeadBand	Felt Antler Headband	46	Headband	
004501A2	ATX_Headwear_LeatherCap	Leather Cap	30|46	Hair Top|Headband	
00450190	CUT_ATX_Headwear_AntlerHeadDress	Antler Head Dress	46	Headband	
00450198	ATX_Headwear_DaredevilHelmet	Daredevil Helmet	30|31|46	Hair Top|Hair Long|Headband	
004501A1	CUT_ATX_Headwear_LeatherCap	Leather Cap	30|46	Hair Top|Headband	
00450197	CUT_ATX_Headwear_DaredevilHelmet	Daredevil Helmet	30|31|46	Hair Top|Hair Long|Headband	
00450361	CUT_ATX_Headwear_ModernBonnet	Modern Bonnet	30|31|46	Hair Top|Hair Long|Headband	
00450362	ATX_Headwear_ModernBonnet	Modern Bonnet	30|31|46	Hair Top|Hair Long|Headband	
00450C0C	CUT_ATX_Clothes_PajamasVaultTec	Vault-Tec Pajamas	57	Coverall	
00450C0E	ATX_Clothes_Pajamas_VaultTec	Vault-Tec Pajamas	57	Coverall	
00451163	ATX_Clothes_FlapperDress	Patterned Fringed Dress	57	Coverall	
00451164	CUT_ATX_Headwear_FlapperHeadband	Flapper Headband	46	Headband	
00451165	CUT_ATX_Headwear_FlapperHeadbandClean	Flapper Tiara	46	Headband	
00451160	CUT_ATX_Clothes_FlapperDress	Flapper Dress	57	Coverall	
00451CAB	CUT_ATX_Headwear_TruckerHat_RobCo	Worn RobCo Trucker Hat	30|46	Hair Top|Headband	
00451CA2	ATX_Headwear_TruckerHat_GarrahanMining_Clean	Garrahan Trucker Cap	30|46	Hair Top|Headband	
00451C96	ATX_Headwear_TruckerHat_76Logo_Clean	76 Trucker Cap	30|46	Hair Top|Headband	
00451C99	CUT_ATX_Headwear_TruckerHat_AmericanFlag	Worn American Trucker Hat	30|46	Hair Top|Headband	
00451C90	CUT_ATX_Headwear_TruckerHat_76Logo	Worn 76 Trucker Hat	30|46	Hair Top|Headband	
00451CBA	ATX_Headwear_TruckerHat_WVOutline_Clean	WVa Trucker Cap	30|46	Hair Top|Headband	
00451C93	ATX_Headwear_TruckerHat_VTU_Clean	VTU Trucker Cap	30|46	Hair Top|Headband	
00451C9C	ATX_Headwear_TruckerHat_AmericanFlag_Clean	American Trucker Cap	30|46	Hair Top|Headband	
00451CA5	CUT_ATX_Headwear_TruckerHat_Mothman	Worn Mothman Trucker Hat	30|46	Hair Top|Headband	
