ENCH_FormID	ENCH_EDID	ENCH_FULL	ENIT_Flags	ENIT_CastType	ENIT_TargetType	ENIT_EnchantType	ENIT_ChargeTime	ENIT_EnchantCost	ENIT_EnchantAmount	Effects_Flat	Effect_1	Effect_2	Effect_3	Effect_4	Effect_5	Effect_6	Effect_7	Effect_8	Effect_9	Effect_10	Effect_11	Effect_12	Effect_13	Effect_14	Effect_15	Effect_16	Effect_17	Effect_18	Effect_19	Effect_20	Globals_Flat	Glob_1	Glob_2	Glob_3	Glob_4	Glob_5	Glob_6	Glob_7	Glob_8	Glob_9	Glob_10	ReferencedBy_Flat	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37	Ref_38	Ref_39	Ref_40
00165555	"EnchClothingResistEnergy"	"Resist Energy"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbPerkFortifyResistEnergy[000559A4];FULL=Fortify Energy Resist;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbPerkFortifyResistEnergy[000559A4];FULL=Fortify Energy Resist;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0016555A	"EnchClothingBadLuck"	"Fortify Bad Luck"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbFortifyBadLuck[00165559];FULL=Fortify Bad Luck;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbFortifyBadLuck[00165559];FULL=Fortify Bad Luck;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0018354D	"EnchPowerArmor_OptimizedBracers"	"Optimized Bracers"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmor_OptimizedBracersEffect[0018354A];FULL=Optimized Bracers Left;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmor_OptimizedBracersEffect[0018354A];FULL=Optimized Bracers Left;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00183552	"EnchPowerArmor_OptimizedServos"	"Optimized Servos"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmor_OptimizedServosEffect[0007C714];FULL=Optimized Servos Effect;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmor_OptimizedServosEffect[0007C714];FULL=Optimized Servos Effect;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:TEMPLATE: Optimized Servos[003D4E5A]"	"OMOD:TEMPLATE: Optimized Servos[003D4E5A]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0018C353	"zzz_EnchCryoSlow"	"Cryo Slow"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001A30CB	"crEnchDismemberOnDeath"	"Dismember On Death"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=DismemberonDeathEffect[001A3039];FULL=Dismember on death;EffID=0;Mag=0.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	"MGEF=DismemberonDeathEffect[001A3039];FULL=Dismember on death;EffID=0;Mag=0.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001A6932	"crEnchAshPileOnDeath"	"Explode On Death"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AshPileOnDeathEffect[001A692F];FULL=Ash Pile On Death;EffID=0;Mag=0.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	"MGEF=AshPileOnDeathEffect[001A692F];FULL=Ash Pile On Death;EffID=0;Mag=0.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"WEAP:Assaultron Laser[000DD4B1] | WEAP:Salvaged Assaultron Head[0010FAA7] | EXPL:ExplosionDNPrimeBeam[002106B2] | WEAP:Polly's Assaultron Head[0041A39C] | WEAP:Imposter Assaultron Head[00424B66] | WEAP:Polly's Assaultron Head[0058C427] | WEAP:Assaultron Laser[005DC82E] | WEAP:Assaultron Laser[0060D168] | WEAP:Assaultron Laser[0077D577] | WEAP:Salvaged Assaultron Head[008039BF]"	"WEAP:Assaultron Laser[000DD4B1]"	"WEAP:Salvaged Assaultron Head[0010FAA7]"	"EXPL:ExplosionDNPrimeBeam[002106B2]"	"WEAP:Polly's Assaultron Head[0041A39C]"	"WEAP:Imposter Assaultron Head[00424B66]"	"WEAP:Polly's Assaultron Head[0058C427]"	"WEAP:Assaultron Laser[005DC82E]"	"WEAP:Assaultron Laser[0060D168]"	"WEAP:Assaultron Laser[0077D577]"	"WEAP:Salvaged Assaultron Head[008039BF]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001A948F	"modEnchRobotShockHandR"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=abRobotShockHandRightFX[001A9496];FULL=Assaultron Hand VFX;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=abRobotShockHandRightFX[001A9496];FULL=Assaultron Hand VFX;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Protectron Right Hand Shock[0010EBA1] | OMOD:Assaultron Right Shock Claw[0010EC2B] | OMOD:DLC01Bot_Hand_Protectron_Melee_Shock_Right_Enc[0010F2D1] | OMOD:DLC01Bot_Hand_Assaultron_Claw_Shock_Right_Enc[0010F2E0] | OMOD:Bot_HandRightAssaultronClawShock[001A9499] | OMOD:Bot_HandRightAssaultronClawShock[001B3132]"	"OMOD:Protectron Right Hand Shock[0010EBA1]"	"OMOD:Assaultron Right Shock Claw[0010EC2B]"	"OMOD:DLC01Bot_Hand_Protectron_Melee_Shock_Right_Enc[0010F2D1]"	"OMOD:DLC01Bot_Hand_Assaultron_Claw_Shock_Right_Enc[0010F2E0]"	"OMOD:Bot_HandRightAssaultronClawShock[001A9499]"	"OMOD:Bot_HandRightAssaultronClawShock[001B3132]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001A9490	"modEnchRobotShockHandL"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=abRobotShockHandLeftFX[001A9497];FULL=Assaultron Hand VFX;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=abRobotShockHandLeftFX[001A9497];FULL=Assaultron Hand VFX;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Protectron Left Hand Shock[0010EBA2] | OMOD:Assaultron Left Shock Claw[0010EC2F] | OMOD:DLC01Bot_Hand_Protectron_Melee_Shock_Left_Enc[0010F2D0] | OMOD:DLC01Bot_Hand_Assaultron_Claw_Shock_Left_Enc[0010F2DA] | OMOD:Bot_HandLeftAssaultronClawShock[001A949A] | OMOD:Bot_HandLeftAssaultronClawShock[001B3131]"	"OMOD:Protectron Left Hand Shock[0010EBA2]"	"OMOD:Assaultron Left Shock Claw[0010EC2F]"	"OMOD:DLC01Bot_Hand_Protectron_Melee_Shock_Left_Enc[0010F2D0]"	"OMOD:DLC01Bot_Hand_Assaultron_Claw_Shock_Left_Enc[0010F2DA]"	"OMOD:Bot_HandLeftAssaultronClawShock[001A949A]"	"OMOD:Bot_HandLeftAssaultronClawShock[001B3131]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001A9491	"EnchShockRobot"	"Electrical Damage"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtElectricalEffectChanceAlways[000856FC];FULL=Damage Type Electrical;EffID=0;Mag=6.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtElectricalEffectChanceAlways[000856FC];FULL=Damage Type Electrical;EffID=0;Mag=6.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EXPL:crExplosionRobotShock[001A9492] | EXPL:crExplosionRobotSelfDestructShock[0022B6EE] | EXPL:crExplosionStormBossCripple[00755932]"	"EXPL:crExplosionRobotShock[001A9492]"	"EXPL:crExplosionRobotSelfDestructShock[0022B6EE]"	"EXPL:crExplosionStormBossCripple[00755932]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001B3F71	"dtFireEnchFlameChanceAlwaysShishkebab"	"Fire Damage Shishkebab"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtFireFlameEffectChanceAlwaysShishkebab[001B3F72];FULL=Damage Type Fire Shishkebab;EffID=0;Mag=5.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtFireFlameEffectChanceAlwaysShishkebab[001B3F72];FULL=Damage Type Fire Shishkebab;EffID=0;Mag=5.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001B5B27	"InstM02EnchLiamsGlasses"	"Liam Glasses Bonus"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbFortifyIntelligence[0004C938];FULL=Fortify Intelligence;EffID=0;Mag=2.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=abReduceCharisma[0004BAD8];FULL=Reduce Charisma;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbFortifyIntelligence[0004C938];FULL=Fortify Intelligence;EffID=0;Mag=2.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=abReduceCharisma[0004BAD8];FULL=Reduce Charisma;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001B88D2	"EnchIncendiaryBurn"	"Incendiary Burn"	""	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=IncendiaryBurnEffect01[001B88D0];FULL=Incendiary Burn 01;EffID=0;Mag=0.000000;Dur=2;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=IncendiaryBurnEffect02[001B88D1];FULL=Incendiary Burn 02;EffID=0;Mag=5.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=IncendiaryBurnEffect01[001B88D0];FULL=Incendiary Burn 01;EffID=0;Mag=0.000000;Dur=2;Area=0;MAGG=[];CVTO=[]"	"MGEF=IncendiaryBurnEffect02[001B88D1];FULL=Incendiary Burn 02;EffID=0;Mag=5.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001B9A3A	"MirelurkQueenSpitAttackSpell"	"Acid"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtAcidEffectChanceAlways[001B9A3B];FULL=Damage Type Acid;EffID=0;Mag=5.000000;Dur=5;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=CritAcidEffectEnch[001B9A3D];FULL=Critical Acid Hit;EffID=0;Mag=1.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtAcidEffectChanceAlways[001B9A3B];FULL=Damage Type Acid;EffID=0;Mag=5.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=CritAcidEffectEnch[001B9A3D];FULL=Critical Acid Hit;EffID=0;Mag=1.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"WEAP:Acid Spray[0011271C] | WEAP:Acid Spray[0011271D] | HAZD:MirelurkQueenAcidHazard[00164172]"	"WEAP:Acid Spray[0011271C]"	"WEAP:Acid Spray[0011271D]"	"HAZD:MirelurkQueenAcidHazard[00164172]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001C1CEB	"dtRadiationEnchGammaGunLarge"	"Radiation Damage"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=DamageRadiationHealingWeapon[00239552];FULL=Radiation Healing Damage;EffID=0;Mag=15.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=DamageRadiationGammaGun[00248D77];FULL=Radiation Damage;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=DamageRadiationHealingWeapon[00239552];FULL=Radiation Healing Damage;EffID=0;Mag=15.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=DamageRadiationGammaGun[00248D77];FULL=Radiation Damage;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Deep Dish[0014F6E7]"	"OMOD:Deep Dish[0014F6E7]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001C403C	"Ench_UnarmedGlowingOne_dtRadiation"	"Radiation Damage"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=DamageRadiationWeaponDuration[001CD034];FULL=Radiation Damage;EffID=0;Mag=30.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=DamageRadiationWeaponDuration[001CD034];FULL=Radiation Damage;EffID=0;Mag=30.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"WEAP:Unarmed GlowingOne[001C403B]"	"WEAP:Unarmed GlowingOne[001C403B]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001C4BB4	"EnchPowerArmor_StealthScript"	"Stealth Field"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmor_StealthScriptEffect[001C4BB3];FULL=Power Armor Stealth Effect;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmor_StealthScriptEffect[001C4BB3];FULL=Power Armor Stealth Effect;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:TEMPLATE: Stealth Boy[003D4E60]"	"OMOD:TEMPLATE: Stealth Boy[003D4E60]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001C5A43	"EnchPowerArmor_RadScrubbers"	"Rad Scrubbers"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmor_RadScrubbersEffect[001C5A42];FULL=Rad Scrubbers;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmor_RadScrubbersEffect[001C5A42];FULL=Rad Scrubbers;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Rad Scrubbers[00181042] | OMOD:Rad Scrubbers[001CFEB1] | OMOD:Rad Scrubbers[001CFEB2] | OMOD:Rad Scrubbers[001CFEB3] | OMOD:Rad Scrubbers[001CFEB4] | OMOD:Rad Scrubbers[003385F1] | OMOD:Rad Scrubbers[0033865C]"	"OMOD:Rad Scrubbers[00181042]"	"OMOD:Rad Scrubbers[001CFEB1]"	"OMOD:Rad Scrubbers[001CFEB2]"	"OMOD:Rad Scrubbers[001CFEB3]"	"OMOD:Rad Scrubbers[001CFEB4]"	"OMOD:Rad Scrubbers[003385F1]"	"OMOD:Rad Scrubbers[0033865C]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001C611D	"EnchPowerArmor_ExplosiveVentExplosion"	"Explosive Vent Explosion Damage"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtBallisticEffectChanceAlways[001C611E];FULL=Damage Type Ballistic;EffID=0;Mag=50.000000;Dur=1;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=dtBallisticEffectChanceAlways[001C611E];FULL=Damage Type Ballistic;EffID=0;Mag=50.000000;Dur=1;Area=0;MAGG=[];CVTO=[] | Effect3:MGEF=dtBallisticEffectChanceAlways[001C611E];FULL=Damage Type Ballistic;EffID=0;Mag=100.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtBallisticEffectChanceAlways[001C611E];FULL=Damage Type Ballistic;EffID=0;Mag=50.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtBallisticEffectChanceAlways[001C611E];FULL=Damage Type Ballistic;EffID=0;Mag=50.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtBallisticEffectChanceAlways[001C611E];FULL=Damage Type Ballistic;EffID=0;Mag=100.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001C6120	"EnchPowerArmor_ExplosiveVentExplosion02"	"Explosive Vent Explosion Damage"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtBallisticEffectChanceAlways[001C611E];FULL=Damage Type Ballistic;EffID=0;Mag=100.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtBallisticEffectChanceAlways[001C611E];FULL=Damage Type Ballistic;EffID=0;Mag=100.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001C8FB2	"EnchPowerArmor_WaterBreathTime"	"Water Breath Time"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DFOB:EnchPowerArmor_WaterBreathTime_DO[00685D8A] | OMOD:The Brotherhood Paint[007350A2]"	"DFOB:EnchPowerArmor_WaterBreathTime_DO[00685D8A]"	"OMOD:The Brotherhood Paint[007350A2]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001D0224	"EnchPowerArmor_KineticServos"	"Kinetic Servos"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbFortifyActionPointRateHidden[0004D899];FULL=Fortify Action Point Regen;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbFortifyActionPointRateHidden[0004D899];FULL=Fortify Action Point Regen;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:TEMPLATE: Kinetic Servos[003D4E4C]"	"OMOD:TEMPLATE: Kinetic Servos[003D4E4C]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001D6CCA	"EnchPowerArmor_UnarmedDamage"	"Hydraulic Bracers"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmor_FortifyUnarmedDamage[001D6CCB];FULL=Power Armor Fortify Fists Damage;EffID=0;Mag=15.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmor_FortifyUnarmedDamage[001D6CCB];FULL=Power Armor Fortify Fists Damage;EffID=0;Mag=15.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001D6CCE	"EnchPowerArmor_VATSChance"	"Targeting Matrix"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmor_FortifyVATSChance[001D6CCD];FULL=Power Armor: Fortify VATS Accuracy;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmor_FortifyVATSChance[001D6CCD];FULL=Power Armor: Fortify VATS Accuracy;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:TEMPLATE: V.A.T.S. Matrix Overlay[003D4E64]"	"OMOD:TEMPLATE: V.A.T.S. Matrix Overlay[003D4E64]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001D6CCF	"EnchPowerArmor_ShockDamage"	"Tesla Bracers"	""	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmor_AddShockDmg[001D6CCC];FULL=Tesla Bracers;EffID=0;Mag=500.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmor_AddShockDmg[001D6CCC];FULL=Tesla Bracers;EffID=0;Mag=500.000000;Dur=1;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
001DE59B	"EnchWeapModShockAndBleed"	"Electrical and Bleeding Damage"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtElectricalEffectChanceAlways[000856FC];FULL=Damage Type Electrical;EffID=0;Mag=8.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=modWeapBleedEffect[002387E2];FULL=Bleed dmg health;EffID=0;Mag=2.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtElectricalEffectChanceAlways[000856FC];FULL=Damage Type Electrical;EffID=0;Mag=8.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=modWeapBleedEffect[002387E2];FULL=Bleed dmg health;EffID=0;Mag=2.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Electrified Serrated Blade[0014A0F0] | WEAP:TestWeapon_ShockAndBleed[002F054E]"	"OMOD:Electrified Serrated Blade[0014A0F0]"	"WEAP:TestWeapon_ShockAndBleed[002F054E]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
