name	price_xbox	price_ps	price_pc	limit_new	limit_existing	build	category_override	include_without_cobj	skip	notes
Steeped Fern Flower Tea	25	35	35	30	30	Herbivore,Hybrid				
Steeped Fever Blossom Tea	25	35	35	30	30					
Steeped Gourd Blossom Tea	25	35	35	30	30	Herbivore,Hybrid				
Steeped Melon Bloom Tea									1	auto-added from COBJ; set skip=0 to sell
Steeped Melon Blossom Chai	25	35	35	30	30	Herbivore,Hybrid				
Steeped Strangler Bloom Tea									1	auto-added from COBJ; set skip=0 to sell
Steeped Strangler Pod Tea	35	45	45	30	30	Herbivore				
Steeped Tato Flower Tea	30	40	40	30	30					
Steeped Thistle Tea	25	35	35	30	30					
Stimpak	10	20	20	100	200					
Stimpak Diffuser	20	30	30	100	200					
Stimpak Diluted	5	15	15	50	100		chem	1		
Stimpak Super	15	25	25	50	100		chem	1		
Stimpak: Diluted	5	15	15	100	200		chem	1	0	auto-added from COBJ; set skip=0 to sell
Stimpak: Super	15	25	25	100	200		chem	1	0	auto-added from COBJ; set skip=0 to sell
Stingwing Filet	15	25	25	30	30					
Stingwing Stew	25	35	35	30	30	Carnivore				
Sugar	N/A	N/A	N/A	N/A	N/A		condiment		0	auto-added from COBJ; set skip=0 to sell
Sugar Bombs	10	20	20	30	30		food	1		auto-added from ALCH (Pre War Food)
Sugar Bombs (no rads)	10	20	20	30	30		food	1		
Sugar-Free Nukashine							alcohol	1	0	
Sunset Sarsaparilla	35	45	45	15	30		soda	1
Sunshine Oil	35	45	45	50	50	Herbivore,Carnivore,Hybrid	condiment		0	
Super Chem MK I	N/A	N/A	N/A	N/A	N/A		chem	1	0	
Super Chem MK II	N/A	N/A	N/A	N/A	N/A		chem	1	0	
Super Chem MK III	N/A	N/A	N/A	N/A	N/A		chem	1	0	
SuperChem	N/A	N/A	N/A	N/A	N/A		chem	1	0	
Surly's Buffout	N/A	N/A	N/A	N/A	N/A		chem	1	0	
Survival Syringe	N/A	N/A	N/A	N/A	N/A		chem	1	1	cut content	
Swamp Tofu									1	auto-added from COBJ; set skip=0 to sell
Swamp Tofu Soup	45	55	55	30	30					
Sweet Blackberry Tea	25	35	35	30	30					
Sweet Labrador Tea	100	110	110	30	30					
Sweet Mutfruit Tea	25	35	35	30	30	Herbivore,Hybrid				
Sweet Roll	45	55	55	30	30					
Sweet Tato Stew	25	35	35	30	30	Herbivore,Hybrid				
Sweetwater Special Blend	25	35	35	30	30	Herbivore,Hybrid				
Syrup	15	25	25	50	100		condiment		0	
Tales from the West Virginia Hills 1							other	1		auto-added from ALCH (Other)
Tales from the West Virginia Hills 2							other	1		auto-added from ALCH (Other)
Tales from the West Virginia Hills 3							other	1		auto-added from ALCH (Other)
Tales from the West Virginia Hills 4							other	1		auto-added from ALCH (Other)
Tales from the West Virginia Hills 5							other	1		auto-added from ALCH (Other)
Talons Serum	100	110	110	50	100		serum	1	0	
Tarberry Juice	10	20	20	30	30					
Tasty Mutant Hound Stew	100	110	110	10	10	Carnivore,Hybrid				
Tasty Mutton Meat Pie	100	110	110	10	10					
Tasty Radscorpion Egg Omelette	25	35	35	30	30					
Tasty Squirrel Stew	35	45	45	30	30	XP,Carnivore				
Tasty Yao Guai Roast	100	110	110	10	10					
Tato Juice	10	20	20	30	30					
Tato Salad	25	35	35	30	30					
Tato Salad Surprise	25	35	35	30	30					
Tato Soup	55	65	65	30	30	Herbivore,Hybrid	food	1		
Tesla Science 1							other	1		auto-added from ALCH (Other)
Tesla Science 2							other	1		auto-added from ALCH (Other)
Tesla Science 3							other	1		auto-added from ALCH (Other)
Tesla Science 4							other	1		auto-added from ALCH (Other)
Tesla Science 5							other	1		auto-added from ALCH (Other)
Tesla Science 6							other	1		auto-added from ALCH (Other)
Tesla Science 7							other	1		auto-added from ALCH (Other)
Tesla Science 8							other	1		auto-added from ALCH (Other)
Tesla Science 9							other	1		auto-added from ALCH (Other)
The Fix	N/A	N/A	N/A	N/A	N/A		chem	1		auto-added from ALCH (Chems)
Tick Blood							condiment	1	0	
Tick Blood Tequila	25	35	35	50	100		alcohol	1		
Tick Blood Tequila Margarita	35	45	45	50	100		alcohol			
Tick Blood Tequila Sunrise	35	45	45	50	100		alcohol			
Toxic Goo	5	15	15	100	200		condiment	1	0	
Toxic Water	5	15	15	100	200		condiment	1	0	condiment/water item
Trench-Med	N/A	N/A	N/A	N/A	N/A		chem	1	0	
Tumblers Today 1							other	1		auto-added from ALCH (Other)
Tumblers Today 2							other	1		auto-added from ALCH (Other)
Tumblers Today 3							other	1		auto-added from ALCH (Other)
Tumblers Today 4							other	1		auto-added from ALCH (Other)
Tumblers Today 5							other	1		auto-added from ALCH (Other)
Turbo-Fert Fertilizer									1	auto-added from COBJ; set skip=0 to sell
Twisted Muscles Serum	100	110	110	50	100		serum	1	0	
U.S. Covert Operations Manual 1							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 10							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 2							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 3							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 4							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 5							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 6							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 7							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 8							other	1		auto-added from ALCH (Other)
U.S. Covert Operations Manual 9							other	1		auto-added from ALCH (Other)
Ultracite Scrap									1	auto-added from COBJ; set skip=0 to sell
Unstable Isotope Serum	100	110	110	50	100		serum	1	0	
Unstoppables 1							other	1		auto-added from ALCH (Other)
Unstoppables 2							other	1		auto-added from ALCH (Other)
Unstoppables 3							other	1		auto-added from ALCH (Other)
Unstoppables 4							other	1		auto-added from ALCH (Other)
Unstoppables 5							other	1		auto-added from ALCH (Other)
Vegetable Medley Soup	25	35	35	30	30	Carnivore				
Vegetable Starch									1	auto-added from COBJ; set skip=0 to sell
Vegetarian Ham	10	20	20	30	30		food	1		
Vintage Lead Champagne							alcohol	1	0	
Vintage Mire Magic Moonshine	25	35	35	50	100		alcohol	1		
Vintage Nukashine							alcohol	1	0	
Vintage Tick Blood Tequila							alcohol	1	0	
Vodka	10	20	20	50	100		alcohol	1		
Volatile Nuka Quantum	N/A	N/A	N/A	N/A	N/A		soda	1		auto-added from ALCH (Soda)
Whiskey	10	20	20	50	100		alcohol	1		
White Russian	35	45	45	50	100		alcohol			
Wine	10	20	20	50	100		alcohol	1		
Wolf Ribs	15	25	25	30	30					
X Cell	45	55	55	30	30		chem	1		
X-Cell	45	55	55	50	100		chem	1	0	
Yao Guai Pastry	35	45	45	30	30					
Yao Guai Ribs	30	40	40	30	30					
Yum Yum Deviled Eggs	10	20	20	30	30		food	1		
Calmex Silk									1	cut content
Formula B									1	cut content
HalluciGen Gas Grenade							other		0	moved from chem to other
Cutting Fluid							other		0	moved from chem to other
Water Filter							other		0	moved from chem to other
Unrefined Gunpowder							other		0	moved from chem to other
Recalibrated Liberator							other		0	moved from chem to other
