SPEL_FormID	SPEL_EDID	SPEL_FULL	SPEL_DESC
002BA56F	Magazine_AstonishingTales01Spell	Tales from the West Virginia Hills 1	
002BA570	Magazine_AstonishingTales02Spell	Tales from the West Virginia Hills 2	
002BA571	Magazine_AstonishingTales03Spell	Tales from the West Virginia Hills 3	
002BA572	Magazine_AstonishingTales04Spell	Tales from the West Virginia Hills 4	
002BA573	Magazine_AstonishingTales05Spell	Tales from the West Virginia Hills 5	
0031BE4B	AbPerkRifleman	Down Ranger	
0031BE4D	AbPerkRiflemanExpert	Rifleman Expert	
0031BE4E	AbPerkRiflemanMaster	Smart Shot	
0031BE4F	AbPerkCommando	Center Masochist	
0031BE50	AbPerkCommandoExpert	Commando Expert	
0031BE51	AbPerkCommandoMaster	Number Cruncher	
0031BE52	AbPerkGunslinger	Gunslinger	
0031BE53	AbPerkGunslingerExpert	Gunslinger Expert	
0031BE54	AbPerkGunslingerMaster	Gunslinger Master	
0031BE55	AbPerkGuerrilla	Guerrilla	
0031BE56	AbPerkGuerrillaExpert	Guerrilla Expert	
0031BE57	AbPerkGuerrillaMaster	Guerrilla Master	
0031BE58	AbPerkHeavyGunner	Bullet Storm	
0031BE59	AbPerkHeavyGunnerExpert	Tightly Wound	
0031BE5A	AbPerkHeavyGunnerMaster	Heavy Gunner Master	
0031BE5B	AbPerkShotgunner	Easy Target	
0031BE5C	AbPerkShotgunnerExpert	Shotgunner Expert	
0031BE5D	AbPerkShotgunnerMaster	Shotgun Champ	
00319662	AbOnDeathForButchersBountyPerk	Set Keyword for Butchers Bounty	
0031D4BA	AbPerkGroundPounder	Ground Pounder	
0031E521	AbPerkGunRunner	Gun Runner	
00320161	PerkBulletShield	Bullet Shield	
00320169	AbPerkLockAndLoad	Lock and Load	
0032235A	AbPerkScattershot	Scattershot	
00323F84	AbPerkEvasive1	Evasive	
00323F87	CUT_AbPerkEvasive2	Evasive	
00323F88	CUT_AbPerkEvasive3	Evasive	
00323F8A	zzz_AbPerkMovingTarget2	Moving Target	
00323F8C	zzz_AbPerkMovingTarget3	Moving Target	
00323F93	AbPerkMagneticPersonality	Magnetic Personality	
00323F95	AbPerkAquagirl	Aquagirl	
003264DF	AbPerkVaccinated	Vaccinated	
003298EB	MTR08_ApplyCollapseFXSpell	Apply Mine Collapse Effect	
00329909	CameraShakeSpellIntense	Camera Shake Spell	
0032990B	MTR08_CameraShakeSpellIntense	Camera Shake Spell	
0032990D	MTR08_CameraShakeSpell	Camera Shake Spell	
0032CB38	AbPerkPicklock1	Picklock	
0032CB3A	AbPerkPicklockExpert1	Picklock Expert	
0032CB40	AbPerkPicklockMaster1	Picklock Master	
00330BA1	zzzPerkBornSurvivorSpell	Auto-consume Stimpak	
0033C4D8	EN07_PostNewRadWeatherSpell	Nuclear Fallout Radiation	
003408B4	CUT_AbPerkBarbarian03	Barbarian	
003408B3	CUT_AbPerkBarbarian02	Barbarian	
003408B1	PerkMysteriousStrangerActorStealth		
003440A0	AbPerkSlugger	Slugger	
003440AE	AbPerkGladiator	Wound Salter	
003440B1	AbPerkDemolitionExpert	Demolition Expert	
003440D1	AbPerkIronclad	Ironclad	
003440DC	AbPerkBodyguards01	Bodyguards	
003440DE	AbPerkBodyguards02	Bodyguards	
003440DF	AbPerkBodyguards03	Bodyguards	
003440E0	AbPerkBodyguards04	Bodyguards	
0034A899	AbPerkBornSurvivor	Born Survivor	
0034ADA6	MTR04_PoisonHotdog	Spoiled Hotdog	
0034ADA7	MTR04_StaggerHotdog	Spoiled Hotdog	
0035206B	AbPerkIronFist	Iron Fist	
00356A16	AbPerkHackerMaster	Hacker Master	
00356A12	AbPerkHacker	Hacker	
00356A1B	AbPerkHackerExpert	Hacker Expert	
00366629	AbRaceScorched	Scorched Abilities	
00369C0D	SFS08_CameraShakeSpell	Camera Shake Spell	
0036B847	SFS08_Heart_PoisonDamageSpell	Strangler Poison	
0036B84B	zzzSFS08_Heart_PoisonFXSpell	Strangler Poison	
0036C7EB	AbAudioRaceCricketSoundRepeater		
00370E72	TW006ScorchedHunterSpell	Scorched Hunter	50% More Damage to Scorched
003713DB	Test_Tut05_VentsSpell	Invigorating Fumes	
0038040D	abMothmanCombatantSpell	Mothman Combatant	
003808B8	PerkPhilanthropistHealThirstSmallSpell	Heal Thirst	
003808C8	AbPerkTheWeird	The Weird	
003808CF	PerkTheWeirdRadResist03	Radiation Resistance	
003808CB	PerkTheWeirdRadResist02	Radiation Resistance	
003808D1	AbPerkStrangeInNumbers	Strange In Numbers	
003808CD	PerkTheWeirdRadResist01	Radiation Resistance	
003808BA	PerkPhilanthropistHealThirstMediumSpell	Heal Thirst	
003808B9	PerkPhilanthropistHealHungerMediumSpell	Heal Hunger	
003808B1	AbPerkPhilanthropist	Philanthropist	
003808B7	PerkPhilanthropistHealHungerSmallSpell	Heal Hunger	
003808AB	AbPerkRadSponge	Rad Sponge	
003808BB	PerkPhilanthropistHealHungerLargeSpell	Heal Hunger	
003808BC	PerkPhilanthropistHealThirstLargeSpell	Heal Thirst	
00382A4E	AbPerkTeamMedic	Medic	
00382A52	PerkTeamMedicHealSpell	Local Practitioner Heal	
00382A50	PerkTeamMedicHealWeakSpell	Local Practitioner Weak Heal	
00382A53	PerkTeamMedicHealSuperSpell	Local Practitioner Super Heal	
003873F5	EpicRankUpFX_Spell		
003879AC	AbRaceHoneyBeast	Honey Beast Abilities	
003896E9	PerkSpiritualHealer	Spiritual Healer	
003896F3	AbPerkDeadManSprinting	Dead Man Sprinting	
003896EF	PerkHealingHandsSpell	Healing Hands	
00389CC8	AbRaceTick	Tick Abilities	
0038AB89	PerkInjector01Spell	Injector	
0038AB8F	AbPerkSecretAgent	Secret Agent	
0038DC42	SURV_Disease_Parasites_PerioidicFoodLoss		
00391F20	AbPerkLastLaugh	Last Laugh	
00391F1B	AbPerkStormChaser	Storm Chaser	
00393F7B	AbPerkRadicool	Radicool	
00393F61	AbPerkGlowSight	Glow Sight	
00393F73	AbPerkSunKissed	Sun Kissed	
00393F56	AbPerkFireproof	Fireproof	
00393F67	AbPerkGrenadier	Grenadier	
00393F6F	AbPerkHomebody	Homebody	
00397CBD	zzz_PerkAdrenalineBuffSpell	Adrenaline	
00397CB5	AbPerkRevenant	Revenant	
00397CB6	PerkRevenantSpell	Revenant	
00398930	AbRaceFlatwoodsMonster	Flatwoods Monster Abilities	
00398932	AbRaceGrafton	Grafton Abilities	
003989C1	AbRaceHoneyBeastBeeSwarm	Bee Swarm Abilities	
003989C3	AbRaceLiberator	Liberator Abilities	
00398B36	AbRaceMegaSloth	Mega Sloth Abilities	
00398B3B	AbRaceMoleMiner	Mole Miner Abilities	
0039A01D	AbRaceRadtoad	Radtoad Abilities	
0039AE10	AbRaceSnallygaster	Snallygaster Abilities	
0039AF7F	AbRaceWendigo	Wendigo Abilities	
003A4A4F	PerkPacifyCooldown	Perk Pacify Cooldown	
003A4A51	PerkIncite	Perk Incite	
003B35CD	AbAudioRaceCritterRadSquirrelSoundRepeater		
003B9848	Trap_Disease_BoneWorms_Spell		
003BD78A	GraftonLaunchOilBombSalvoSpell		
003BDC8E	MTNZ03_OverheatStrongSpell	Black Box Overheating	
003BDC8F	MTNZ03_OverheatDeadlySpell	Black Box Overheating	
003BDC8D	MTNZ03_OverheatLightSpell	Black Box Overheating	
003BEF03	TWZ05RewardSpell	Mirelurk Marauder	
003C2E05	WaterRadiationSevereHazard	Severe Water Radiation	
003C30DE	AbPerkTravelAgent	Travel Agent	
003C4045	Mutation_EggHead	Egg Head	
003C4037	Mutation_EagleEyes	Eagle Eyes	
003C4049	Mutation_Carnivore	Carnivore	
003C402F	Mutation_TwistedMuscles	Twisted Muscles	
003C404E	Mutation_Herbivore	Herbivore	
003C403D	Mutation_BirdBones	Bird Bones	
003CD03B	SURV_Disease_SwampItch	Swamp Itch	
003CD033	SURV_WellRested2	Well Rested	
003D2949	abPerkDodgy	Dodgy	
003D2959	AbPerkAntibiotic	Antibiotic	
003DBBD7	AbAudioRaceHoneybeastSoundRepeater		
003DE595	CUT_PerkSuppressor01Spell	Suppressor	
003DF045	SURV_Disease_WeepingSores	Weeping Sores	
003DF043	SURV_Disease_BloodWorms	Blood Worms	
003DF041	SURV_Disease_RadWorms	Rad Worms	
003DF244	zzz_RECLAIM_LunchboxRewards_NearbySpell	Rewards Nearby Actor Spell	
003E21E9	AbPerkJunkShield02	Junk Shield	
003E21F8	PerkTenderizer01Spell	Tenderizer	
003E21FC	PerkTenderizer03Spell	Tenderizer	
003E21EB	AbPerkJunkShield03	Junk Shield	
003E21E7	AbPerkJunkShield01	Junk Shield	
003E21F3	CUT_PerkSuppressor02Spell	Suppressor	
003E21F5	CUT_PerkSuppressor03Spell	Suppressor	
003E21FB	PerkTenderizer02Spell	Tenderizer	
003E5F72	AbAudioRaceScorchedASoundRepeater		
003E7F6C	SURV_DiseasedCreatureChance_abDiseasedCreature		
003E956B	PerkFriendlyFire01Spell	Friendly Fire	
003E9566	AbPerkMartialArtist	Martial Artist	
003E9D8F	MTNS06_CameraShakeSpellIntense	Camera Shake Spell	
004A4A59	SURV_Disease_WeepingSores_OnHit	Bleeding (Weeping Sores)	
004B009D	SURV_Disease_ShellShock_OnHit	Drain (Shell Shock)	
004B0095	SURV_Disease_GlowingPustules	Glowing Pustules	
004B0096	SURV_Disease_GlowingPustules_OnHit	Bleeding (Glowing Pustules)	
004B009C	SURV_Disease_ShellShock	Shell Shock	
004C6B2F	SURV_Disease_SwampGas	Swamp Gas	
004C6B34	SURV_Disease_BuzzBrain	Buzz Brain	
004C6B25	SURV_Disease_SnotEar	Snot Ear	
004C6B2A	SURV_Disease_HeatFlashes	Heat Flashes	
004C6B3E	SURV_Disease_Blight	The Blight	
004C6B1F	SURV_Disease_FlapLimb	Flap Limb	
004C6B39	SURV_Disease_Woopsies	The Woopsies	
004C6B48	SURV_Disease_FeverClaw	Fever Claw	
004C6B4F	SURV_Disease_RattleHands	Rattle Hands	
004DEB48	zzz_TWZ09KickPerk		
004DF1CE	Mutation_Marsupial	Marsupial	
004DF1DB	Mutation_HealingFactor	Healing Factor	
004DF1CF	Mutation_ScalySkin	Scaly Skin	
004DF1E0	Mutation_SpeedDemon	Speed Demon	
004E1F16	Mutation_Empath	Empath	
004E1F14	Mutation_AdrenalReaction	Adrenal Reaction	
004E1F1E	Mutation_HerdMentality	Herd Mentality	-2 SPECIAL solo, +2 SPECIAL grouped
004E2568	TW004StingwingHunterSpell	Stingwing Hunter	+10% Damage to Stingwings
004E254C	TW004MongrelHunterSpell	Mongrel Hunter	+10% Damage to Mongrels
004E256A	TW004RadstagHunterSpell	Radstag Hunter	+10% Damage to Radstags
004E256C	TW004SnallygasterHunterSpell	Snallygaster Hunter	+10% Damage to Snallygasters
004E256D	TW004HoneybeastHunterSpell	Honeybeast Hunter	+10% Damage to Honeybeasts
004E256E	TW004RadtoadHunterSpell	Radtoad Hunter	+10% Damage to Radtoads
004E256B	TW004RadscorpionHunterSpell	Radscorpion Hunter	+10% Damage to Radscorpions
004E2569	TW004BloodbugHunterSpell	Bloodbug Hunter	+10% Damage to Bloodbugs
004E2565	TW004YaoGuaiHunterSpell	Yao Guai Hunter	+10% Damage to Yao Guai
004E2564	TW004MirelurkHunterSpell	Mirelurk Hunter	+10% Damage to Mirelurks
004E2567	TW004SuperMutantHunterSpell	Super Mutant Hunter	+10% Damage to Super Mutants
004E2566	TW004AnglerHunterSpell	Angler Hunter	+10% Damage to Anglers
004E4017	Mutation_UnstableIsotope	Unstable Isotope	
004E400D	Mutation_ElectricallyCharged	Electrically Charged	
004E4028	Mutation_RadWalker-CUT	Rad Walker	
004E4006	Mutation_Chameleon	Chameleon	
004E4022	Mutation_PlagueWalkerDamage	Plague Walker Damage Aura	
004E4021	Mutation_PlagueWalker	Plague Walker	
004E4002	Mutation_Grounded	Grounded	
004E4029	Mutation_RadWalkerDamage-CUT	Rad Walker Damage Aura	
004ED9BA	MTR10RobotAbility01		
004F5780	Legendary_DamageConsecutiveHits_Attacker	Legendary "Furious" on attacker	
004F577E	Legendary_DamageConsecutiveHits_Target	Legendary "Furious" on target	
004F6AB3	crXPBonusSpell	Wisdom of the Mothman	
00505BCF	AbPerkAntiEpidemic	Anti-Epidemic	
00509362	abMothmanWatcherSpell	Mothman Watcher	
00510108	EN07_Fissure_CameraShakeSpell_Intense	Camera Shake Spell	
00510106	EN07_Fissure_CameraShakeSpell	Camera Shake Spell	
00518430	abMothmanDefenderSpell	Mothman Defender	
0051894B	EN07_FadeToWhiteSpell	Fade To White Effect	
00519C65	AbAudioRaceCritterRadBeaverSoundRepeater		
0051ABC3	PerkFriendlyFire02Spell	Friendly Fire	
0051ABC5	PerkFriendlyFire03Spell	Friendly Fire	
0051B56A	WaterFEVLethalHazard	Toxic Goo	
005217E9	MTNS04NightstalkerAppearImodSpell		
00521924	zzz_AbMoM_GarbofMysteryBuffs	Garb of Mysteries	
00521937	Mom_VoiceofSet_ShockStunRobots		
00521923	zzz_AbMoM_BladeofBastetBuffs	Blade of Bastet Buffs	
00521A4A	ENz04_ChangeAssistanceLevelSpell_PlayerTarget	Change NPC Assistance Level	
0052266B	Mom_VoiceofSet_ShockRobots		
0052415A	AbPerkGoodWithSalt	Good With Salt	
00524148	Legendary_CloakOnMelee	Cloak On Melee	
00525415	TestScorchConvert		
00526570	AbAmbushFurnitureInvisibility		
00526841	MTR05_CameraShakeSpell	Camera Shake Spell	
00527F73	Legendary_OnBlockBurnSpell	Burn DoT	
00527F80	Legendary_OnMeleeHitBurnSpell	Burn DoT	
00527F91	Legendary_CritsHealTeamSpell	Medic Legendary	
00527F89	Legendary_VampireRegen	Vampire Health Regen	
005281BC	Legendary_DebuffDamageSpell	Debuff Damage Output	
00529A01	Legendary_FreezeSpell	CryoFreeze	
005299F3	Legendary_KnockbackSpell	Knockback	
0052BDAD	zzz_AbPerkOrdnanceExpress	Ordnance Express	
0052BDA0	zzz_AbPerkBandolier	Bandolier	
0052BDAE	AbPerkPackinLight	Packin Light	
0052BDB0	zzz_AbPerkSturdyFrame	Sturdy Frame	
0052BDB2	zzz_AbPerkTravelingPharmacy	Traveling Pharmacy	
0052BD9E	zzz_AbPerkBearArms	Bear Arms	
0052BDB1	zzz_AbPerkThruHiker	Thru Hiker	
0052BDA2	zzz_AbPerkBatteriesIncluded	Batteries Included	
0052BDAF	zzz_AbPerkPackRat	Pack Rat	
005303FF	AbPowerArmorPerk_Excavator	Excavator Bonuses	
00530B93	EN02_RadarBlastSpell01		
00530CF5	MSilo_ReactorRadiationHazard	Deadly Radiation	
001A7C52	zzzLegendary_OnBlockRadiationSpell	Radiation Damage	
001A7DBA	Legendary_FrenzySpell	Frenzy	
001A7C9F	Legendary_OnBlockElectricSpell	Electric Damage	
0016F043	abUnderArmor_Casual_Buffs	Under Armor	
0016F064	abUnderArmor_BOS_Buffs	Under Armor	
0016EFD7	abUnderArmor_Enclave_Buffs	Under Armor	
0016EFC6	abUnderArmor_Raider_Buffs	Under Armor	
0016EFCF	abUnderArmor_Marine_Buffs	Under Armor	
0016EFAD	abUnderArmor_VaultSuit_Buffs	Vault suit	
0014CEE0	ScorchBeast_Transition	Poison	
0004A334	RadiationTriggerToken	Token Radiation	
0004A35A	RadiationTriggerLight	Light Radiation	
0004A692	RadiationTriggerStrong	Strong Radiation	
0004A335	RadiationTriggerDeadly	Deadly Radiation	
00049665	CoolingTowerTriggerSpell	Cooling Tower Steam	
0025BF4C	AbPerkSquadManeuvers	Squad Maneuvers	
0033D108	ScentAttractorMeatSpell	Attraction to Meat	
0006F7D3	SURV_Disease_ScorchedPlague	Scorched Plague	
00379E16	Magazine_Holotape_GrognakSpell	Grognak & the Ruby Ruins	
003792AA	Magazine_Holotape_ZetaInvadersSpell	Zeta Invaders	
0037A7B3	Magazine_Holotape_NukatapperSpell	Nukatapper	
0037A6A0	Magazine_Holotape_AutomatronSpell	Automatron	
0037A7B2	Magazine_Holotape_AtomicCommandSpell	Atomic Command 1	
00379E18	Magazine_Holotape_PipfallSpell	Pipfall	
0037954E	Magazine_Holotape_WasteladSpell	Wastelad	
0037954C	Magazine_Holotape_RedMenaceSpell	Red Menace	
00050E8B	SURV_Disease_SpellToCastOnChance_ToxicAir_DamageHealth	Toxic Air	
00520BD2	zzz_AbPerkGladiatorMaster	Gladiator Master	
00520BDA	AbPerkSluggerMaster	Heavy Hitter	
00520BD1	AbPerkGladiatorExpert	Meat Mincer	
00520BDB	AbPerkSluggerExpert	Knee-Capper	
003B7723	AbAudioRaceFireflySoundRepeater		
004E102C	zzz_AbMoM_GarbofMysteries_Description	Garb of Mysteries	
004E102A	zzz_AbMoM_BladeofBastet_Description	Blade of Bastet	
004E102B	AbMoM_VoiceofSet_Description	Voice of Set	
0052EC2D	CB02_CandyBucket_Spell	Candy Bucket	
002C5FDF	crFlatwoodsMonsterTeleportOutSpell	Teleport Out	
0037D0AD	AbVertibotRace		
0037D173	AbAddLegendaryItem	AbLegendaryCreature	
0037D1C5	RadtoadEggMineLaunchSpell	Radtoad Egg Mine Launch Spell	
003C75C4	SURV_Disease_JellyFingers	Jelly Fingers	
003C75CE	Trap_Disease_RattleHands_Spell		
003C75B8	SURV_Disease_NeedleSpine	Needle Spine	
003C75CA	Trap_Disease_NeedleSpine_Spell		
003C75CC	Trap_Disease_FeverClaw_Spell		
003C75BE	SURV_Disease_LockJoint	Lock Joint	
003C9B99	PerkBloodyMessSpell	Bloody Mess	
003CA1B9	AssaultronHead_SelfRadDMGSpell	Assaultron Rad Damage	
003DC39F	AbTWZ05Reward	Mirelurk Marauder	
00386ACD	Mutation_TalonsBleedSpell	Bleed	
005119FB	CritUltracite		
00511B74	AbRaceVertibird	Vertibird Abilities	
003C7B93	MTNM03_ZenSpell03	Zen Mastery Lvl 3	
003C7B92	MTNM03_ZenSpell02	Zen Mastery Lvl 2	
003C7B95	MTNM03_ZenSpell_Reward_01	Zen Mastery Lvl 1	
003C7B97	MTNM03_ZenSpell_Reward_03	Zen Mastery Lvl 3	
003C7B91	MTNM03_ZenSpell01	Zen Mastery Lvl 1	
003C7B94	MTNM03_ZenSpell04	Zen Mastery Lvl 4	
003C7B96	MTNM03_ZenSpell_Reward_02	Zen Mastery Lvl 2	
003C7B98	MTNM03_ZenSpell_Reward_04	Zen Mastery Lvl 4	
003C852B	crFlatwoodsMonsterAddToFactionSpell	Flatwoods Monster Add to Faction	
003C852C	FlatwoodsMonsterCloakSpell	Flatwoods Monster Cloak	
003A1015	TW009UnionProtection		
003A1016	TW009ConfederateProtection		
003D012C	Mutation_PlagueWalkerDamageSuper	Plague Walker Damage Aura (Super)	
0050B499	AbAmbushFurnitureScorched		
0050C049	RS03_Inoculation_InoculationSpell	Scorched Plague Inoculation	
0050CA63	AbPerkInspirational	Inspirational	
0050CA62	DetectLifeClientSpell	Detect Life	
0050CD15	SURV_WellTunedSpell	Well Tuned	
0050CD17	SURV_RestoreHealth_RestingSpell	Resting	
0050DCC9	SURV_AddRadsOnWaterCollect	Add Rads When Collecting Water	
004F9A39	zzz_PerkAdrenalineOnKillSpell	Adrenaline	
004FACCF	AbPerkChemFiend	Chem Fiend	
004FB1BD	abFlatwoodsMonsterWatcherSpell	Flatwoods Monster Watcher	
004FB641	CB_WatogaRobotAbility	Decrement Pop Counter OnDeath	
004FCB61	SCORE_Lunchbox_ThirstSpell	To-Go Punch	
004FCB5F	SCORE_Lunchbox_RobotsSpell	Noisemaker	
004FCB57	SCORE_Lunchbox_CarryCapacitySpell	Gift Bag	
004FCB5C	SCORE_Lunchbox_JumpAbility	Balloons!	Some pop in your step! 
004FCB5D	SCORE_Lunchbox_MutantsSpell	Fingertrap	
004FCB58	SCORE_Lunchbox_CreaturesSpell	Plastic Animals	
004FCB5B	SCORE_Lunchbox_HungerSpell	So Much Cake	Too full!
004FCB5E	SCORE_Lunchbox_RadResistSpell	Antacids	
004FCB62	SCORE_Lunchbox_XPSpell	Very Well Rested	
004FD932	SCORE_Lunchbox_PerkConfettiEffectSpell	Confetti Mess	
004FD931	SCORE_Lunchbox_ConfettiSpell	Confetti Mess	
00432C8D	FF05_Reward_ResistFoodRadsSpell	Resist Food Rads	
00432C8F	FF06_Reward_ResistFoodRadsSpell	Improved Food Healing	
00432C89	FF01_Reward_ResistPoisonSPell	Resist Poison	
00432FC0	zzz_RECLAIM_ThirstSpellEffect	To-Go Punch	
0043342B	LC052_CameraShakeSpell	Camera Shake Spell	
0043342C	LC052_CameraShakeSpellIntense	Camera Shake Spell	
0043430E	PerkInjector02Spell	Injector	
0043430F	PerkInjector03Spell	Injector	
0043479D	BoSZ04_AntiScorched_Spell	Anti-Scorched Damage	
004347B0	abBossLootDrop_Large_Dynamic	Boss Loot Drop	
004347AE	abBossLootDrop_Small_Dynamic	Boss Loot Drop Small	
004347AF	abBossLootDrop_Medium_Dynamic	Boss Loot Drop Medium	
00437AE0	Mutation_ChameleonOnAttackFlag_Spell	Chameleon On Attack Flag	
00437FEE	Wanted_DebtorsDisease_Spell	Bankruptcy Penalty	
00439184	EN07_ApplySmokeVisualEffectSpell_NukeC	Apply Smoke Visual Effect - Nuke C	
00439177	EN07_ApplySmokeVisualEffectSpell_NukeA	Apply Smoke Visual Effect - Nuke A	
00439178	EN_CameraShakeSpell	Camera Shake Spell	
0043917F	EN07_ApplyBlastVisualEffectSpell_NukeB	Apply Blast Visual Effect	
00439183	EN07_ApplyBlastVisualEffectSpell_NukeC	Apply Blast Visual Effect	
00439180	EN07_ApplySmokeVisualEffectSpell_NukeB	Apply Smoke Visual Effect - Nuke B	
0043C729	AbRaceRadFrog	Rad Frog Abilities	
0043C72A	AbRaceRadSquirrel	Radsquirrel  Abilities	
0043C723	AbRaceFirefly	Firefly Abilities	
0043C728	AbRaceRadBeaver	Rad Beaver Abilities	
0043C724	AbRaceFox	Fox Abilities	
0043C725	AbRaceOpossum	Opossum Abilities	
0043C727	AbRaceOwlet	Owlet Abilities	
0043C726	AbRaceMothman	Mothman Abilities	
0043CEFE	PerkTargetDebuffSpell	Perk Debuffs	
0043E187	SCORE_Lunchbox_Balloon_Applier	Balloons!	
004503B9	TrapBearTrapBleedingHitSpell		
004503BA	TrapBearTrapHitSpell		
00450ADF	AbEpicCreature_RestoreHealth_Trigger	Rage Heal Trigger	
00450AE1	AbEpicCreature_RestoreHealth	Rage Heal	
0045110F	AbPerkFullCharge	Power User	
004869F8	crScorchBeastQueen_DamageReduction	ScorchBeastQueen Specific Buffs	
004874FF	EN07_ApplySoundCategorySpell	Apply Nuke Sound Category Spell	
0047759E	PerkRadSpongeHealSpell	Heal Radiation	
004787D1	E01B_Herd_CameraShakeSpell	Camera Shake Spell	
00479D51	AbRaceSheepsquatch		
0047B270	E01B_Herd_PerkCooldownSpell	Herd Cooldown	
0047F579	Nukashine_Blackout	Nukashine Blackout	You're blacking out!
0047C2EB	AbSpotlightWeekly	Spotlight Week 1	
0047C2E9	AbWeeklySpotlight	Spotlight Week	
00454127	Nukashine_Hangover	Nukashine Hangover	
00454D58	SFS09_Habitat_RadiationHazardStrong	Strong Radiation	
00454D59	SFS09_Habitat_RadiationHazardDeadly	Deadly Radiation	
0045DE04	RobotOnFire	Robot On Fire	
00464923	REObjectTS08_ReducePerception		
0046548A	V94_StranglerHeartAcidSpell	Strangler Acid Cloud	
0045455A	CryoSlowEffectSpell_Stage1	Chilled	
0045455B	zzz_CryoSlowEffectSpell_Stage2	Frosted	
0045455C	CryoSlowEffectSpell_Stage3	Frozen	
0046983D	Alcohol_HangoverMild	Mild Hangover	
00469858	TickBloodTequila_FoodRegen	Gain Food On Melee Damage	
00469855	TickBloodTequila_DiseaseChance	Disease Chance	
00469848	FirecrackerWhiskey_BurnOnHit	Firecracker Whiskey Burn	
0046984C	FirecrackerWhiskey_BurnSelf	Firecracker Whiskey Burn	
0046985A	TickBloodTequila_HealthRegen	Drink Blood	
0046984A	FirecrackerWhiskey_BurnOnTouch	Firecracker Whiskey Burn	
0046CF18	LemonadeHard_Hangover	Sugar Crash Hangover	
003EC3E3	RadAntLager_Hangover	Rad Ant Lager Hangover	
0046C7CE	Ab_Spotlight_HeavyMetal	Spotlight Ability: Heavy Metal	
003EE3C2	Ab_Spotlight_Unstoppable	Spotlight Ability: Unstoppable	
003F2370	Ab_Spotlight_ShareTheLove	Share The Love	
003F2376	Ab_Spotlight_LegendOfTheMothman	Legend of the Mothman	
003F2B94	AbRaceBrahmin		
003F3295	Camera_TargetingHUD_Spell	Camera Targeting HUD	
003F28E7	Ab_Spotlight_SpringCleaning	Spring Cleaning	
003F3F3E	AbPerkBloodyMess	Bloody Mess	
003F7FA5	E01B_Encryptid_PylonConduitSpell	Conduit	
0046C7D1	Ab_Spotlight_ChildsPlay	Spotlight Ability: Childs Play	
0046C7F8	Ab_Spotlight_TerrorInTheNight	Spotlight Ability: Terror in the night	
003FBAB0	Ab_Spotlight_DoubleXP	Double XP	
0040419B	Ab_Spotlight_DoubleXPSurvival	Double XP	
0040E4CF	E01B_Encryptid_AssaultronHazardSpell	Fire Hazard	
004122CB	crSheepsquatchPoisonAttack	Poison Attack	
0041557D	StimGasHealTeamSpell	Stim Gas Heal	
0041A4E8	W05_MQ_003P_Muscle_PlayerPollyFireSpell	Player Uses Polly Head Spell	
00421216	AbAddictionFormulaP	Formula P Addiction	
00425272	ToxicGin_PoisonsOnHit	Toxic Gin Poison	
0042F5D8	W05_MQR_203P_PassTimeSpell		
0042F5B3	W05_MQR_203P_WinnersCup_Blackout	Winner's Cup Blackout	You're blacking out!
003EB6AE	zzz_BabylonStormHazard	Pyroclastic Storm	
00511EA6	zzz_BabylonWarmthHazardSpell	Warmth	
004500A7	zzz_AbPerkBabylonDetectTerminal	Detect Terminal	
004500A5	zzz_AbPerkBabylonDetectBriefcase	Detect Briefcase	
004500A6	zzz_AbPerkBabylonDetectPowerArmor	Detect Power Armor	
0045009A	zzz_AbPerkBabylonMonsterMuffler01	Monster Muffler	
004500AA	zzz_AbPerkBabylon_APBonus	Strength Bonus 3	
00479B66	zzz_AbPerkActionBoyGirl_Babylon	Action Boy/Girl	
00479B73	zzz_AbPerkLifeGiver_Babylon	Life Giver	
00479B7A	zzz_AbPerkRefractor_Babylon	Refractor	
00479B7F	zzz_AbPerkSturdyFrame_Babylon	Sturdy Frame	
00479B71	zzz_AbPerkIronclad_Babylon	Ironclad	
00479B72	zzz_AbPerkIronFist_Babylon	Iron Fist	
00479B74	zzz_AbPerkLockAndLoad_Babylon	Lock and Load	
00479B75	zzz_AbPerkMartialArtist_Babylon	Martial Artist	
00479B6E	zzz_AbPerkGunRunner_Babylon	Gun Runner	
00479B7B	zzz_AbPerkRiflemanMaster_Babylon	Master Non-Auto Rifle Damage	
00479B80	zzz_AbPerkThruHiker_Babylon	Thru Hiker	
00479B6D	zzz_AbPerkGuerrillaMaster_Babylon	Master Guerrilla	
00479B77	zzz_AbPerkPackinLight_Babylon	Packin Light	
00479B78	zzz_abPerkRadResistant_Babylon	Radiation Resistance	
00479B6C	zzz_AbPerkGrenadier_Babylon	Glow Sight	
00479B6F	zzz_AbPerkGunslingerMaster_Babylon	Master Gunslinger	
00479B6B	zzz_AbPerkGladiatorMaster_Babylon	1H Melee Damage	
00479B69	zzz_AbPerkCommandoMaster_Babylon	Master Auto Rifle Damage	
00479B7E	zzz_AbPerkStrongBack_Babylon	Strong Back	
00479B81	zzz_AbPerkTravelingPharmacy_Babylon	Traveling Pharmacy	
00479B6A	zzz_AbPerkDemolitionExpert_Babylon	Explosive Damage	
00479B83	zzz_PerkSpiritualHealer_Babylon	Spiritual Healer	
00479B70	zzz_AbPerkHeavyGunnerMaster_Babylon	Master Heavy Gun Damage	
00479B67	zzz_AbPerkBearArms_Babylon	Bear Arms	
