FormID	EDID	NAM1_ActorValue	NAM2_Produce	NAM4_Interval	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30
005867B6	ATX_Resource_Communist_Collectron_Proletariat	ATX_ResourceAV_Collectron_Communist_Proletariat "Communism" [AVIF:005867B4]	ATX_Resources_Collectron_Communist_Proletariat [LVLI:005867B5]	ATX_ResourceProductionIntervalHours_Collectron_Communist_Proletariat [GLOB:005867B9]	0																														
005867B7	ATX_Resource_Communist_Collectron_Revolutionary	ATX_ResourceAV_Collectron_Communist_Revolutionary "Communism" [AVIF:005867BA]	ATX_Resources_Collectron_Communist_Revolutionary [LVLI:005867BB]	ATX_ResourceProductionIntervalHours_Collectron_Communist_Revolutionary [GLOB:005867B8]	0																														
00592F7C	W05_WST_AmmoConstructionMachine_All	W05_WST_ResourceAV_AmmoConstructionMachine_All "Ammo" [AVIF:005957DD]	W05_WST_WorkshopProduce_AmmoConstruction_All [LVLI:005957E2]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
005957E5	W05_TurboFertFertilizerResource_Resource	W05_ResourceAV_TurboFertFertilizer "T.F. Fertilizer" [AVIF:00592F7D]	W05_WorkshopProduce_TurboFertFertilizer [LVLI:00592F7E]	W05_ResourceProductionIntervalHoursTurboFertFertilizer [GLOB:00592F7F]	0																														
0059947D	W05_WST_AmmoConstructionMachine_REUSE	NULL - Null Reference [00000000]	NULL - Null Reference [00000000]	NULL - Null Reference [00000000]	0																														
00599480	W05_WST_AmmoConstructionMachine_308	W05_WST_ResourceAV_AmmoConstructionMachine_308 "Ammo" [AVIF:0059946B]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_308 [LVLI:00599478]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
0059947F	W05_WST_AmmoConstructionMachine_10mm	W05_WST_ResourceAV_AmmoConstructionMachine_10mm "Ammo" [AVIF:0059946A]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_10mm [LVLI:00599473]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
00599481	W05_WST_AmmoConstructionMachine_Explosive	W05_WST_ResourceAV_AmmoConstructionMachine_FusionCell "Ammo" [AVIF:0059946C]	W05_WST_WorkshopProduce_AmmoConstruction_FusionCell [LVLI:00599474]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_Energy [GLOB:0059946E]	0																														
0059947E	W05_WST_AmmoConstructionMachine_FusionCell	W05_WST_ResourceAV_AmmoConstructionMachine_FusionCell "Ammo" [AVIF:0059946C]	W05_WST_WorkshopProduce_AmmoConstruction_FusionCell [LVLI:00599474]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
005995D9	W05_WST_AmmoConstructionMachine_45	W05_WST_ResourceAV_AmmoConstructionMachine_45 "Ammo" [AVIF:0059EB0B]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_45 [LVLI:00599477]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
0059EB14	W05_WST_AmmoConstructionMachine_38	W05_WST_ResourceAV_AmmoConstructionMachine_38 "Ammo" [AVIF:0059EB0C]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_38 [LVLI:0059EB0E]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
0059EB17	W05_WST_AmmoConstructionMachine_5mm	W05_WST_ResourceAV_AmmoConstructionMachine_5mm "Ammo" [AVIF:0059EB09]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_5mm [LVLI:0059EB12]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
0059EB16	W05_WST_AmmoConstructionMachine_556	W05_WST_ResourceAV_AmmoConstructionMachine_556 "Ammo" [AVIF:0059EB0A]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_556 [LVLI:0059EB13]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
0059EB15	W05_WST_AmmoConstructionMachine_PlasmaCartridge	W05_WST_ResourceAV_AmmoConstructionMachine_PlasmaCartridge "Ammo" [AVIF:0059EB06]	W05_WST_WorkshopProduce_AmmoConstruction_PlasmaCartridge [LVLI:0059EB10]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
0059EB19	W05_WST_AmmoConstructionMachine_Shotgun	W05_WST_ResourceAV_AmmoConstructionMachine_Shotgun "Ammo" [AVIF:0059EB08]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_ShotgunShell [LVLI:0059EB0F]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
0059EB18	W05_WST_AmmoConstructionMachine_GammaCell	W05_WST_ResourceAV_AmmoConstructionMachine_GammaCell "Ammo" [AVIF:0059EB07]	W05_WST_WorkshopProduce_AmmoConstruction_GammaCell [LVLI:0059EB11]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
0059EB1A	W05_WST_AmmoConstructionMachine_44	W05_WST_ResourceAV_AmmoConstructionMachine_44 "Ammo" [AVIF:0059F2C3]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_44 [LVLI:0059EB0D]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
005A115B	ATX_Resource_Collectron_Santa_All	ATX_ResourceAV_Collectron_Santa "Holiday Cheer" [AVIF:005A115A]	ATX_Resources_Collectron_Santa [LVLI:005A1159]	ATX_ResourceProductionIntervalHours_Collectron_Santa [GLOB:005A1158]	0																														
005A668C	W05_WST_AmmoConstructionMachine_50	W05_WST_ResourceAV_AmmoConstructionMachine_50 "Ammo" [AVIF:005A668A]	W05_WST_WorkshopProduce_AmmoConstruction_Ballistic_50 [LVLI:005A668B]	W05_WST_ResourceProductionIntervalHoursAmmoConstruction_All [GLOB:005957DF]	0																														
005AD5AE	ATX_Resource_Collectron_Fasnacht_Party	ATX_ResourceAV_Collectron_Fasnacht_Party "Party Supplies" [AVIF:005AD5AD]	zzz_NOTinUSE_ATX_Resources_Collectron_Fasnacht_Party [LVLI:005AD5A8]	ATX_ResourceProductionIntervalHours_Collectron_Fasnacht_Party [GLOB:005AD5A1]	0																														
005AD5AC	ATX_Resource_Collectron_Fasnacht_Treats	ATX_ResourceAV_Collectron_Fasnacht_Treats "Treats" [AVIF:005AD5AF]	ATX_Resources_Collectron_Fasnacht_Treats [LVLI:005AD5A9]	ATX_ResourceProductionIntervalHours_Collectron_Fasnacht_Treats [GLOB:005AD5A2]	0																														
005C53B8	ATX_Resource_Collectron_BoS_MissionSupplies	ATX_ResourceAV_Collectron_BoS_MissionSupplies "Various Scrap" [AVIF:005C53A9]	ATX_Resources_Collectron_BoS_MissionSupplies [LVLI:005C53AF]	ATX_ResourceProductionIntervalHours_Collectron_BoS_MissionSupplies [GLOB:005C53AE]	0																														
005D1F8E	DirtyWaterResource	DirtyWater "Dirty Water" [AVIF:005D1F8C]	WorkshopProduceDirtyWater [LVLI:005D1F8D]	ResourceProductionIntervalHoursWater [GLOB:0045128B]	0																														
005F0D2B	ATX_Resource_Collectron_Gold	ATX_ResourceAV_Collectron_Gold_Scrap "Gold" [AVIF:0054B431]	ATX_Resources_Collectron_Gold_Scrap [LVLI:005F0D28]	ATX_ResourceProductionIntervalHours_Collectron_Scrap_Gold [GLOB:005F0D27]	0																														
005FBC27	ATX_Resource_Collectron_NukaCola	ATX_ResourceAV_Collectron_NukaCola "Nuka-Cola" [AVIF:005FBC16]	ATX_Resources_Collectron_NukaCola [LVLI:005FBC1B]	ATX_ResourceProductionIntervalHours_Collectron_NukaCola [GLOB:005FBC1A]	0																														
005FE791	SCORE_S4_Beehive	SCORE_S4_ResourceAV_BeeHive "Honey" [AVIF:005FE788]	SCORE_S4_Resources_Beehive [LVLI:005FE790]	SCORE_S4_ResourceProductionIntervalHours_Collectron_Beehive [GLOB:005FE78F]	0																														
0060DF57	ATX_Resource_Collectron_RedRocket_AutoParts	ATX_ResourceAV_Collectron_AutoParts "Automotive Parts" [AVIF:0060DF4E]	ATX_Resources_Collectron_AutoParts [LVLI:0060DF53]	ATX_ResourceProductionIntervalHours_Collectron_RedRocket_AutoParts [GLOB:0060DF4F]	0																														
00622F7E	ATX_Resource_Collectron_FETCH_Electronics	ATX_ResourceAV_Collectron_Electronics "Electronics" [AVIF:00622F75]	ATX_Resources_Collectron_Electronics [LVLI:00622F7A]	ATX_ResourceProductionIntervalHours_Collectron_FETCH_Electronics [GLOB:00622F79]	0																														
00623BDF	ATX_Resource_PopcornMachine_Popcorn	ATX_ResourceAV_PopcornMachine_Popcorn "Popcorn" [AVIF:00623BDC]	ATX_Resources_PopcornMachine_Popcorn [LVLI:00623BDE]	ATX_ResourceProductionIntervalHours_PopcornMachine_Popcorn [GLOB:00623BDD]	0																														
0064A14D	ATX_Resource_Collectron_Silver	ATX_ResourceAV_Collectron_Silver_Scrap "Silver" [AVIF:0064A149]	ATX_Resources_Collectron_Silver_Scrap [LVLI:0064A14A]	ATX_ResourceProductionIntervalHours_Collectron_Scrap_Gold [GLOB:005F0D27]	0																														
00662E76	ATX_MorbidWell	ATX_ResourceAV_MorbidWell "Blood" [AVIF:00662E66]	ATX_Resources_MorbidWell_Blood [LVLI:00662E6F]	ATX_ResourceProductionIntervalHours_Collectron_MorbidWell [GLOB:00662E6D]	0																														
006667FA	ATX_Resource_Collectron_FETCH_Electronics_Junk	ATX_ResourceAV_Collectron_Electronics_Junk "Scrap" [AVIF:006667EF]	ATX_Resources_Collectron_Electronics_Junkyard [LVLI:006667F5]	ATX_ResourceProductionIntervalHours_Collectron_FETCH_Electronics_Junk [GLOB:006667F0]	0																														
0067B2EB	SCORE_S11_Resource_Collectron_NukaQuantum	SCORE_S11_ResourceAV_Collectron_NukaQuantum "Nuka-Cola" [AVIF:0067B2E8]	SCORE_S11_Resources_Collectron_NukaQuantum [LVLI:0067B2EA]	SCORE_S11_ResourceProductionIntervalHours_Collectron_NukaQuantum [GLOB:0067B2E9]	0																														
0067ADC5	ATX_Resource_SlocumsJoe_CoffeeMachine01	ATX_ResourceAV_Collectron_SlocumsJoe_CoffeeMachine01 "Canned Coffee" [AVIF:0067ADC4]	ATX_Resources_Collectron_SlocumsJoe_CoffeeMachine01 [LVLI:0067ADC6]	ATX_ResourceProductionIntervalHours_Collectron_SlocumsJoeCoffeeMachine01 [GLOB:0067ADC7]	0																														
0067B39E	ATX_Resource_NukaColaCandyMachine_Candy	ATX_ResourceAV_NukaColaCandyMachine_Candy "Nuka-Cola Candy" [AVIF:0067B397]	ATX_Resources_NukaColaCandyMachine_Candy [LVLI:0067B39C]	ATX_ResourceProductionIntervalHours_NukaColaCandyMachine_Candy [GLOB:0067B39B]	0																														
0067BBB7	ATX_Resource_NukaQuantumCandyMachine_Candy	ATX_ResourceAV_NukaQuantumCandyMachine_Candy "Nuka-Cola Candy" [AVIF:0067BBB2]	ATX_Resources_NukaQuantumCandyMachine_Candy [LVLI:0067BBB6]	ATX_ResourceProductionIntervalHours_NukaQuantumCandyMachine_Candy [GLOB:0067BBB4]	0																														
0067F3B2	ATX_Resource_Collectron_TreeSapBucket	ATX_ResourceAV_Collectron_TreeSapBucket "Adhesive" [AVIF:0067F3A9]	ATX_Resources_Collectron_TreeSapBucket [LVLI:0067F3B0]	ATX_ResourceProductionIntervalHours_Collectron_TreeSapBucket [GLOB:0067F3AD]	0																														
0068E77E	ATX_Resource_Collectron_RadstagFieldDressingStation	ATX_ResourceAV_Collectron_RadstagFieldDressingStation "Radstag Meat" [AVIF:0068E77D]	ATX_Resources_Collectron_RadstagFieldDressingStation [LVLI:0068E77B]	ATX_ResourceProductionIntervalHours_Collectron_RadstagFieldDressingStation [GLOB:0068E77C]	0																														
00691C0F	SCORE_S12_Resource_FirewoodPile_Wood	SCORE_S12_ResourceAV_FirewoodPile_Wood "Wood" [AVIF:00691C06]	SCORE_S12_Resources_FirewoodPile_Wood [LVLI:00691C0E]	SCORE_S12_ResourceProductionIntervalHours_FirewoodPile_Wood [GLOB:00691C0A]	0																														
0069FB61	ATX_Resource_BrahminMilkMachine_BrahminMilk	ATX_ResourceAV_BrahminMilkMachine_BrahminMilk "Brahmin Milk" [AVIF:0069FB5E]	ATX_Resources_BrahminMilkMachine_BrahminMilk [LVLI:0069FB60]	ATX_ResourceProductionIntervalHours_BrahminMilkMachine_BrahminMilk [GLOB:0069FB5F]	0																														
006CDE36	ATX_Resource_BuddingApothecary_Flora	ATX_ResourceAV_BuddingApothecary_Flora "Various Herbs" [AVIF:006CDE33]	ATX_Resources_BuddingApothecary_Flora [LVLI:006CDE35]	ATX_ResourceProductionIntervalHours_BuddingApothecary_Flora [GLOB:006CDE34]	0																														
006C6DCD	SCORE_S14_Resource_Collectron_AutoMiner	SCORE_S14_ResourceAV_Collectron_AutoMiner "Ore" [AVIF:006C6DBC]	SCORE_S14_Resources_Collectron_AutoMiner [LVLI:006C6DC3]	SCORE_S14_ResourceProductionIntervalHours_Collectron_AutoMiner [GLOB:006C6DC2]	0																														
006F06CF	ATX_Resource_CookieJar_MudCookie	ATX_ResourceAV_CookieJar_MudCookie "Mud Cookie" [AVIF:006F06C9]	ATX_Resources_CookieJar_MudCookie [LVLI:006F06CE]	ATX_ResourceProductionIntervalHours_CookieJar_MudCookie [GLOB:006F06CD]	0																														
006F7E85	ATX_Resource_BirthdayCake_Cake	ATX_ResourceAV_Birthdaycake_Cake "Birthday Cake" [AVIF:006F7E7C]	ATX_Resources_Birthdaycake_Cake [LVLI:006F7E83]	ATX_ResourceProductionIntervalHours_BirthdayCake_Cake [GLOB:006F7E80]	0																														
006F7E95	ATX_Resource_MothmanNest_Egg	ATX_ResourceAV_MothmanNest_Egg "Mothman Eggs" [AVIF:006F7E89]	ATX_Resources_MothmanNest_egg [LVLI:006F7E94]	ATX_ResourceProductionIntervalHours_MothmanNest_Egg [GLOB:006F7E8F]	0																														
006F0690	ATX_Resource_CompanyTeaKettle_Tea	ATX_ResourceAV_CompanyTeaKettle_Tea "Company Tea" [AVIF:006F0683]	ATX_Resources_CompanyTea_Tea [LVLI:006F068E]	ATX_ResourceProductionIntervalHours_CompanyTeaKettle_Tea [GLOB:006F068D]	0																														
0073CAD1	ATX_Resource_MirelurkSteamer_Food	ATX_ResourceAV_MirelurkSteamer_Food "Mirelurk Food" [AVIF:0073CACA]	ATX_Resources_MirelurkSteamer_Food [LVLI:0073CACF]	ATX_ResourceProductionIntervalHours_MirelurkSteamer_Flora [GLOB:0073CACE]	0																														
0075B0CC	ATX_Resource_Boiler_BoiledWater	ResourceAV_BoiledWater "Boiled Water" [AVIF:007461EF]	ATX_Resources_Boiler_BoiledWater [LVLI:0075B0CB]	ATX_ResourceProductionIntervalHours_Boiler_BoiledWater [GLOB:0075B0CA]	0																														
0075C8FC	ATX_Resource_AppleTree_resource	ATX_ResourceAV_AppleTree_resource "Spoiled Fruit" [AVIF:0075C8F0]	ATX_Resources_SpoiledFruit_resource [LVLI:0075C8FB]	ATX_ResourceProductionIntervalHours_AppleTree_resource [GLOB:0075C8F8]	0																														
0075FBF9	Meat_Resource_WeenieWagon_CannedDogFood	Meat_ResourceAV_WeenieWagon_CannedDogFood "Canned Dog Food" [AVIF:0075FBEA]	Meat_Resources_WeenieWagon_CannedDogFood [LVLI:0075FBF4]	Meat_ResourceProductionIntervalHours_WeenieWagon_CannedDogFood [GLOB:0075FBF2]	0																														
0076A6C3	ATX_Resource_LumberjackCollectron	ATX_ResourceAV_LumberjackCollectron "Wood" [AVIF:0076A6BA]	ATX_Resources_LumberjackCollectron_resource [LVLI:0076A6C2]	ATX_ResourceProductionIntervalHours_LumberjackCollectron_resource [GLOB:0076A6C1]	0																														
0076D04C	Resource_MotorizedButterChurn_CookingOil	ResourceAV_MotorizedButterChurn_CookingOil "Cooking Oil" [AVIF:0076D043]	Resources_MotorizedButterChurn_CookingOil [LVLI:0076D04A]	ResourceProductionIntervalHours_MotorizedButterChurn_CookingOil [GLOB:0076D049]	0																														
0076D05B	ATX_Resource_Pemmican	ResourceAV_Pemmican "Pemmican" [AVIF:0076D050]	ATX_Resources_Pemmican [LVLI:0076D059]	ATX_ResourceProductionIntervalHours_Pemmican [GLOB:0076D056]	0																														
00771DC7	SCORE_S17_Resource_Collectron_Scoutmaster	SCORE_S17_ResourceAV_Collectron_Scoutmaster "Scout Supplies" [AVIF:00771DC6]	SCORE_S17_Resources_Collectron_Scoutmaster [LVLI:00771DC4]	SCORE_S17_ResourceProductionIntervalHours_Collectron_Scoutmaster [GLOB:00771DC5]	0																														
00773E54	ATX_Resource_RadTurkeyFieldDressingStation_resource	ATX_ResourceAV_RadTurkeyFieldDressingStation_resource "Meat" [AVIF:00773E1B]	ATX_Resources_RadTurkeyFieldDressingStation_resource [LVLI:00773E40]	ATX_ResourceProductionIntervalHours_RadTurkeyFieldDressingStation_resource [GLOB:00773E3A]	0																														
0078BB4E	ATX_Resource_TheNoddingDonkey_Oil	ATX_ResourceAV_TheNoddingDonkey_Oil "Oil" [AVIF:0078BB48]	ATX_Resources_TheNoddingDonkey_Oil [LVLI:0078BB4D]	ATX_ResourceProductionIntervalHours_TheNoddingDonkey_Oil [GLOB:0078BB4C]	0																														
00787E48	ATX_Resource_DeathclawSlowRoaster_resource	ATX_ResourceAV_DeathclawSlowRoaster_resource "BBQ Food" [AVIF:00787E20]	ATX_Resources_DeathclawSlowRoaster_resource [LVLI:00787E43]	ATX_ResourceProductionIntervalHours_DeathclawSlowRoaster_resource [GLOB:00787E40]	0																														
00787E49	ATX_Resource_PackBrahmin_resource	ATX_ResourceAV_PackBrahmin_resource "Brahmin Items" [AVIF:00787E21]	ATX_Resources_PackBrahmin_resource [LVLI:00787E44]	ATX_ResourceProductionIntervalHours_PackBrahmin_resource [GLOB:00787E41]	0																														
00787E47	ATX_Resource_GamesCupboard_resource	ATX_ResourceAV_GamesCupboard_resource "Board Games" [AVIF:00787E1F]	ATX_Resources_GamesCupboard_resource [LVLI:00787E42]	ATX_ResourceProductionIntervalHours_GamesCupboard_resource [GLOB:00787E3F]	0																														
007970FF	ATX_Resource_FermentableBeer	ResourceAV_FermentableBeer "Fermentable Beer" [AVIF:007970FB]	ATX_Resources_FermentableBeer [LVLI:007970FE]	ATX_ResourceProductionIntervalHours_FermentableBeer [GLOB:007970FD]	0																														
00798772	ATX_Resource_RedRocketDumpster_Junk	ATX_ResourceAV_RedRocketDumpster_Junk "Plastic Junk" [AVIF:0079876D]	ATX_Resources_RedRocketDumpster_Junk [LVLI:00798771]	ATX_ResourceProductionIntervalHours_RedRocketDumpster_Junk [GLOB:0079876E]	0																														
0079888B	ATX_Resource_RedRocketDumpster_Junk_Copy01	ATX_ResourceAV_CamdenParkDumpster_Junk "Plastic Junk" [AVIF:00798886]	SCORE_S25_Resources_CamdenParkDumpster_Junk [LVLI:0079888A]	ATX_ResourceProductionIntervalHours_CamdenParkDumpster_Junk [GLOB:00798887]	0																														
00799A9D	ATX_Resource_Cooler_PurifiedWater	ResourceAV_PurifiedWater "Purified Water" [AVIF:00799A90]	ATX_LL_Resources_Water_Enclave [LVLI:00799A9C]	ATX_ResourceProductionIntervalHours_Cooler_PurifiedWater [GLOB:00799A9A]	0																														
00799FA1	ATX_Resource_CounterfeitBottleCapPress_resource	ATX_ResourceAV_CounterfeitBottleCapPress_resource "Metal Scrap" [AVIF:00799F8C]	ATX_Resources_CounterfeitBottleCapPress_resource [LVLI:00799FA0]	ATX_ResourceProductionIntervalHours_CounterfeitBottleCapPress_resource [GLOB:00799F9D]	0																														
0079A1E9	ATX_Resource_EnclaveDataCenter_resource	ATX_ResourceAV_EnclaveDataCenter_resource "Electronic Parts" [AVIF:0079A1B9]	ATX_Resources_EnclaveDataCenter_resource [LVLI:0079A1DA]	ATX_ResourceProductionIntervalHours_EnclaveDataCenter_resource [GLOB:0079A1D7]	0																														
007A7D9F	ATX_Resource_CurioCabinet_resource	ATX_ResourceAV_CurioCabinet_resource "Adhesive, Asbestos, Ceramic" [AVIF:007A7D68]	ATX_Resources_CurioCabinet_resource [LVLI:007A7D91]	ATX_ResourceProductionIntervalHours_CurioCabinet_resource [GLOB:007A7D87]	0																														
007C729F	ATX_Resource_Collectron_BivBev	ATX_ResourceAV_Collectron_BivBev_Alcohol "Alcohol" [AVIF:007BCF50]	ATX_Resources_Collectron_BivBev [LVLI:007C729C]	ATX_ResourceProductionIntervalHours_Collectron_BivBev [GLOB:007C7299]	0																														
007ACF9F	SCORE_S20_Resource_SlimeCake_Cake	SCORE_S20_ResourceAV_Slimecake_Cake "Slime Cake" [AVIF:007ACF9B]	SCORE_S20_Resources_Slimecake_Cake [LVLI:007ACF9E]	ATX_ResourceProductionIntervalHours_BirthdayCake_Cake [GLOB:006F7E80]	0																														
007AE279	SSE_Resource_Radlily	SSE_ResourceAV_Container_Radlily "Radlily" [AVIF:007AE269]	SSE_Resources_LL_Radlily [LVLI:007AE275]	SSE_ResourceProductionIntervalHoursHybridTier1Flower [GLOB:007AE274]	0																														
007AE27A	SSE_Resource_CarnalWeeper	SSE_ResourceAV_Container_CarnalWeeper "Carnal Weeper" [AVIF:007AE268]	SSE_Resources_LL_CarnalWeeper [LVLI:007AE276]	SSE_ResourceProductionIntervalHoursHybridTier1Flower [GLOB:007AE274]	0																														
007AE278	SSE_Resource_CrystalCup	SSE_ResourceAV_Container_CrystalCup "Crystalcup" [AVIF:007AE267]	SSE_Resources_LL_CrystalCup [LVLI:007AE277]	SSE_ResourceProductionIntervalHoursHybridTier1Flower [GLOB:007AE274]	0																														
007AE653	SCORE_S20_Resource_Collector_ToxicGoo	SCORE_ResourceAV_ToxicGoo "Toxic Goo" [AVIF:007AE64E]	LL_Drink_WaterToxicGoo [LVLI:002118B0]	SCORE_S20_ResourceProductionIntervalHours_ToxicGoo [GLOB:007AEA60]	0																														
007AEE17	SCORE_S20_Resource_MeatCooker_Food	SCORE_S20_ResourceAV_MeatCooker_Food "Cooked Meat" [AVIF:007AEE09]	SCORE_S20_Resources_MeatCooker_Food [LVLI:007AEE13]	SCORE_S20_ResourceProductionIntervalHours_MeatCooker [GLOB:007AEE0F]	0																														
007B2880	ATX_Resource_DoctorsOrdersCigaretteMachine_resource	ATX_ResourceAV_DoctorsOrdersCigaretteMachine_resource "Tobacco Products" [AVIF:007B284A]	ATX_Resources_DoctorsOrdersCigaretteMachine_resource [LVLI:007B2871]	ATX_ResourceProductionIntervalHours_DoctorsOrdersCigaretteMachine_resource [GLOB:007B2867]	0																														
007B28EB	ATX_Resource_PoisonedEarthWell_resource	ATX_ResourceAV_PoisonedEarthWell_resource "Poisonous Scrap" [AVIF:007B2893]	ATX_Resources_PoisonedEarthWell_resource [LVLI:007B28DC]	ATX_ResourceProductionIntervalHours_PoisonedEarthWell_resource [GLOB:007B28CF]	0																														
007DC48D	ATX_Resource_PaintCanGenerator_resource	ATX_ResourceAV_PaintCanGenerator_resource "Paint Cans" [AVIF:007DC484]	ATX_Resources_PaintCanGenerator_resource [LVLI:007DC48C]	ATX_ResourceProductionIntervalHours_PaintCanGenerator_resource [GLOB:007DC48A]	0																														
007F5555	ATX_DirtyWaterResource	ResourceAV_DirtyWater "Dirty Water" [AVIF:007F5559]	WorkshopProduceDirtyWater [LVLI:005D1F8D]	ATX_ResourceProductionIntervalHours_DirtyWater [GLOB:007F5556]	0																														
008082AB	ATX_Resource_FishTrap_Food	ATX_ResourceAV_FishTrap_Food "Fish" [AVIF:008082A5]	ATX_Resources_FishTrap_Fish [LVLI:007D6B0D]	ATX_ResourceProductionIntervalHours_FishTrap_Flora [GLOB:007D6B09]	0																														
008082AA	ATX_Resource_LiveBaitBarrel_Food	ATX_ResourceAV_LiveBaitBarrel_Food "Bait" [AVIF:008082A4]	ATX_Resources_LiveBaitBarrel_Bait [LVLI:007D6AD6]	ATX_ResourceProductionIntervalHours_LiveBaitBarrel_Flora [GLOB:007D6AD1]	0																														
0083E795	ATX_Resource_WallmountedOven_resource	ATX_ResourceAV_WallmountedOven_resource "Meat" [AVIF:0083E76C]	ATX_Resources_WallmountedOven_resource [LVLI:0083E791]	ATX_ResourceProductionIntervalHours_WallmountedOven_resource [GLOB:0083E785]	0																														
0083E794	ATX_Resource_PumpkinPie_resource	ATX_ResourceAV_PumpkinPie_resource "Pumpkin Pie" [AVIF:0083E76B]	ATX_Resources_PumpkinPie_resource [LVLI:0083E790]	ATX_ResourceProductionIntervalHours_PumpkinPie_resource [GLOB:0083E782]	0																														
008308D9	SCORE_S22_Resource_Collector_SoulSoupServer_Food	SCORE_S22_ResourceAV_Collector_SoulSoupServer_Food "Cooked Soup" [AVIF:008308D0]	SCORE_S22_Resources_Collector_SoulSoupServer_Food [LVLI:008308D7]	SCORE_S22_ResourceProductionIntervalHours_Collector_SoulSoupServer [GLOB:008308D4]	0																														
0083090B	ZZZ_SCORE_S22_Resource_MotorizedButterChurn_VaultTec_CookingOil	NULL - Null Reference [00000000]	NULL - Null Reference [00000000]	ResourceProductionIntervalHours_MotorizedButterChurn_CookingOil [GLOB:0076D049]	0																														
0083645A	SCORE_S22_Resource_Collectron_RoboButler	SCORE_S22_ResourceAV_Collectron_RoboButler "Food and Cleaning" [AVIF:00836469]	SCORE_S22_Resources_Collectron_RoboButler [LVLI:00836460]	SCORE_S22_ResourceProductionIntervalHours_Collectron_RoboButler [GLOB:00836461]	0																														
0084131E	ATX_Resource_BarrelofToxicGoo_resource	ATX_ResourceAV_BarrelofToxicGoo_resource "Toxic Goo" [AVIF:00841301]	ATX_Resources_BarrelofToxicGoo_resource [LVLI:00841313]	ATX_ResourceProductionIntervalHours_BarrelofToxicGoo_resource [GLOB:0084130F]	0																														
00848146	SCORE_S22_Resource_SpiceRack_Spices	SCORE_S22_ResourceAV_SpiceRack_Spices "Various Spices" [AVIF:0084813B]	SCORE_S22_Resources_SpiceRack_Spices [LVLI:00848145]	SCORE_S22_ResourceProductionIntervalHours_SpiceRack [GLOB:00848144]	0																														
0084CCA7	ATX_LiberatedResource_Collector	ATX_ResourceAV_Collectron_Liberated_Collector "Junk" [AVIF:0084CCA4]	ATX_Resources_Collectron_Liberated [LVLI:0084CCA6]	ATX_ResourceProductionIntervalHours_Collectron_Liberated [GLOB:0084CCA5]	0																														
0084B0BE	zzzSCORE_S23_Resource_BodyinBathtub_Water	zzzSCORE_S23_ResourceAV_BodyinBathtub_Water "Toxic Water" [AVIF:0084B0B2]	zzzSCORE_S23_Resources_BodyinBathtub_Food [LVLI:0084B0BC]	zzzSCORE_S23_ResourceProductionIntervalHours_BodyinBathtub [GLOB:0084B0B9]	0																														
0084CCE6	ATX_Resource_RockerBox_resource	ATX_ResourceAV_RockerBox_resource "Minerals" [AVIF:0084CCCD]	ATX_Resources_RockerBox_resource [LVLI:0084CCE4]	ATX_ResourceProductionIntervalHours_RockerBox_resource [GLOB:0084CCDF]	0																														
00854BEF	zzzz_ATX_Resource_AmmOMatic_resource	zzzz_ATX_ResourceAV_AmmOMatic_resource "Ammo" [AVIF:00854BE7]	zzzz_ATX_Resources_AmmOMatic_resource [LVLI:00854BEE]	zzzz_ATX_ResourceProductionIntervalHours_AmmOMatic_resource [GLOB:00854BED]	0																														
