PCRD_FormID	PCRD_EDID	FormVersion	DESC	MNAM_MaleName	FNAM_FemaleName	ANAM_PerkCardFlags	DATA_Value	DATA_MinLevel	DATA_Special	DATA_RaceRestriction	PCDV_GLOB_FormID	PCDV_GLOB_EDID	PCDV_GLOB_FULL	SNAM_Sound	RankCount	Ranks_Flat	ReferencedByCount	Rank_1_CardRank	Rank_1_MalePerk_FormID	Rank_1_MalePerk_EDID	Rank_1_MalePerk_FULL	Rank_1_FemalePerk_FormID	Rank_1_FemalePerk_EDID	Rank_1_FemalePerk_FULL	Rank_2_CardRank	Rank_2_MalePerk_FormID	Rank_2_MalePerk_EDID	Rank_2_MalePerk_FULL	Rank_2_FemalePerk_FormID	Rank_2_FemalePerk_EDID	Rank_2_FemalePerk_FULL	Rank_3_CardRank	Rank_3_MalePerk_FormID	Rank_3_MalePerk_EDID	Rank_3_MalePerk_FULL	Rank_3_FemalePerk_FormID	Rank_3_FemalePerk_EDID	Rank_3_FemalePerk_FULL	Rank_4_CardRank	Rank_4_MalePerk_FormID	Rank_4_MalePerk_EDID	Rank_4_MalePerk_FULL	Rank_4_FemalePerk_FormID	Rank_4_FemalePerk_EDID	Rank_4_FemalePerk_FULL	Rank_5_CardRank	Rank_5_MalePerk_FormID	Rank_5_MalePerk_EDID	Rank_5_MalePerk_FULL	Rank_5_FemalePerk_FormID	Rank_5_FemalePerk_EDID	Rank_5_FemalePerk_FULL	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11
00324219	zzz_Vault63Mission01PerkCardTBD	209		Toughness			0.000000	0	Unknown	None	001179F2	PerkCard_Caps_Unique		001A72FC:UIPerkMenuToughness:SNDR	5	0|| || 0|| || 0|| || 0|| || 0||	1	0							0							0							0							0							003241AD:V63_1_CUT_FlaggedToNotExportInScript:QUST										
0032992F	MisterSandmanCard	209	Murder in the dark!	MisterSandman			0.000000	37	Agility	None	001179F3	PerkCard_Caps_Rare		001A72DD:UIPerkMenuMisterSandman:SNDR	2	1|0004B258:MisterSandman01:Mister Sandman| || 2|001D2490:MisterSandman02:Mister Sandman|	3	1	0004B258	MisterSandman01	Mister Sandman				2	001D2490	MisterSandman02	Mister Sandman																									0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
0032CB33	PicklockExpertCard	209	Practiced fingers open locks.	Picklock			0.000000	19	Perception	None	001179ED	PerkCard_Caps_Common		001A7649:UIPerkMenuLocksmith:SNDR	1	1|00052400:PicklockExpert01:Picklock Expert|	3	1	00052400	PicklockExpert01	Picklock Expert																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
0032CB34	PicklockMasterCard	209	No lock can keep you out!	Picklock			0.000000	40	Perception	None	001179ED	PerkCard_Caps_Common		001A7649:UIPerkMenuLocksmith:SNDR	1	1|00052401:PicklockMaster01:Picklock Master|	3	1	00052401	PicklockMaster01	Picklock Master																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
0032DA6B	VaccinatedCard	209	Good thing you are up to date on all 2316 vaccines!	Vaccinated			0.000000	16	Endurance	Human	0024F8D6	PerkCard_Caps_Uncommon			1	1|00323F91:Vaccinated01:Vaccinated|	3	1	00323F91	Vaccinated01	Vaccinated																																0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
0032DA6E	ExterminatorCard	209	Someone call an exterminator?	Exterminator			0.000000	14	Perception	None	001179ED	PerkCard_Caps_Common			3	1|0032CB42:Exterminator01:Exterminator| || 2|0032DA6C:Exterminator02:Exterminator| || 3|0032DA6D:Exterminator03:Exterminator|	3	1	0032CB42	Exterminator01	Exterminator				2	0032DA6C	Exterminator02	Exterminator				3	0032DA6D	Exterminator03	Exterminator																		0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
0032DA72	MakeshiftWarriorCard	209	All you need is some ingenuity and duct tape.	MakeshiftWarrior			0.000000	9	Intelligence	None	0024F8D6	PerkCard_Caps_Uncommon			3	1|0032DA6F:MakeshiftWarrior01:Makeshift Warrior| || 2|0032DA70:MakeshiftWarrior02:Makeshift Warrior| || 3|0032DA71:MakeshiftWarrior03:Makeshift Warrior|	4	1	0032DA6F	MakeshiftWarrior01	Makeshift Warrior				2	0032DA70	MakeshiftWarrior02	Makeshift Warrior				3	0032DA71	MakeshiftWarrior03	Makeshift Warrior																		0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC							
00330B9E	SerendipityCard	209	Fortune favors the bold.	Serendipity			0.000000	5	Luck	None	0024F8D6	PerkCard_Caps_Uncommon		001A72FC:UIPerkMenuToughness:SNDR	1	1|00330B9B:Serendipity01:Serendipity|	9	1	00330B9B	Serendipity01	Serendipity																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E4:NPE_Loadout_GunslingerSelectionList:LVPC	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	006DE9E6:NPE_Loadout_ShotgunnerSelectionList:LVPC	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC		
00330BA5	BornSurvivorCard	209	You're a born survivor!	BornSurvivor			0.000000	3	Agility	None	0024F8D6	PerkCard_Caps_Uncommon			3	1|00330BA0:BornSurvivor01:Born Survivor| || 2|00330BA3:BornSurvivor02:Born Survivor| || 3|00330BA4:BornSurvivor03:Born Survivor|	4	1	00330BA0	BornSurvivor01	Born Survivor				2	00330BA3	BornSurvivor02	Born Survivor				3	00330BA4	BornSurvivor03	Born Survivor																		0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
00330BA9	RicochetCard	209	What goes around comes around!	Ricochet			0.000000	38	Luck	None	001179F3	PerkCard_Caps_Rare		0021623E:UIPerkMenuRicochet:SNDR	1	1|0031E520:Ricochet01:Ricochet|	3	1	0031E520	Ricochet01	Ricochet																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
0033843C	LicensedPlumberCard	209	Your Vault job has finally paid off!	LicensedPlumber			0.000000	5	Intelligence	None	001179ED	PerkCard_Caps_Common			3	1|00338438:LicensedPlumber01:Licensed Plumber| || 2|0033843A:LicensedPlumber02:Licensed Plumber| || 3|0033843B:LicensedPlumber03:Licensed Plumber|	3	1	00338438	LicensedPlumber01	Licensed Plumber				2	0033843A	LicensedPlumber02	Licensed Plumber				3	0033843B	LicensedPlumber03	Licensed Plumber																		0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
003408AD	MysteriousStrangerCard	209	Who is he? Why does he help? Who cares!	MysteriousStranger			0.000000	26	Luck	None	001179F3	PerkCard_Caps_Rare		001A72DF:UIPerkMenuMysteriousStranger:SNDR	3	1|0004C929:MysteriousStranger01:Mysterious Stranger| || 2|001D2493:MysteriousStranger02:Mysterious Stranger| || 3|001D2494:MysteriousStranger03:Mysterious Stranger|	3	1	0004C929	MysteriousStranger01	Mysterious Stranger				2	001D2493	MysteriousStranger02	Mysterious Stranger				3	001D2494	MysteriousStranger03	Mysterious Stranger																		0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
0034409F	SneakCard	209	Become whisper, become shadow.	Sneak			0.000000	20	Agility	None	0024F8D6	PerkCard_Caps_Uncommon		0021623B:UIPerkMenuSneak:SNDR	3	1|0004C935:Sneak01:Sneak| || 2|003896FC:Sneak02:Sneak| || 3|000B9883:Sneak03:Sneak|	3	1	0004C935	Sneak01	Sneak				2	003896FC	Sneak02	Sneak				3	000B9883	Sneak03	Sneak																		0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
003440AD	GladiatorCard	209	Spartacus, shmartacus!	Gladiator			0.000000	2	Strength	None	001179F3	PerkCard_Caps_Rare			3	1|003440A8:Gladiator01:Wound Salter| || 2|003440A9:Gladiator02:Wound Salter| || 3|003440AA:Gladiator03:Wound Salter|	5	1	003440A8	Gladiator01	Wound Salter				2	003440A9	Gladiator02	Wound Salter				3	003440AA	Gladiator03	Wound Salter																		00048090:76CharGenStartingPerkCardsFormlist:FLST	0005B390:LevelUp_SelectionList:LVPC	004713BC:Challenge_Lifetime_Perks_RankUp_SUB_Strength_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	007B9AF0:ATX_Loadout_Level50_Boost_BonusCards:LVPC						
003440B9	DemolitionExpertCard	209	The bigger the boom, the better!	DemolitionExpert			0.000000	10	Intelligence	None	001179F3	PerkCard_Caps_Rare		001A7638:UIPerkMenuDemolitionExpert:SNDR	3	1|003440B0:DemolitionExpert01:Demolition Expert| || 2|003440B3:DemolitionExpert02:Demolition Expert| || 3|003440B4:DemolitionExpert03:Demolition Expert|	5	1	003440B0	DemolitionExpert01	Demolition Expert				2	003440B3	DemolitionExpert02	Demolition Expert				3	003440B4	DemolitionExpert03	Demolition Expert																		0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC	007B9AF0:ATX_Loadout_Level50_Boost_BonusCards:LVPC						
003440C4	ScienceCard	209	Focused mind, focused light.	Science			0.000000	20	Intelligence	None	001179ED	PerkCard_Caps_Common		001A72F3:UIPerkMenuScience:SNDR	1	2|003440C0:Science01:Science!|	3	2	003440C0	Science01	Science!																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
003440C5	ScienceExpertCard	209	Take full advantage of advanced technology.	ScienceExpert			0.000000	30	Intelligence	None	001179ED	PerkCard_Caps_Common		001A72F3:UIPerkMenuScience:SNDR	1	2|003440C1:ScienceExpert01:Pyro-Technician|	3	2	003440C1	ScienceExpert01	Pyro-Technician																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
003440C6	ScienceMasterCard	209	Death rays are your forte.	ScienceMaster			0.000000	40	Intelligence	None	001179ED	PerkCard_Caps_Common		001A72F3:UIPerkMenuScience:SNDR	1	2|003440C2:ScienceMaster01:Cryologist|	3	2	003440C2	ScienceMaster01	Cryologist																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
003440CC	CUT_ExoticWeaponsCard	209	Unconventional warfare calls for unconventional weapons.	ExoticWeapons			0.000000	8	Intelligence	None	001179ED	PerkCard_Caps_Common		001A763E:UIPerkMenuGunNut:SNDR	0		1																																				004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST										
003440CD	CUT_ExoticWeaponsExpertCard	209	You're an eccentric improviser!	ExoticWeaponsExpert			0.000000	16	Intelligence	None	001179ED	PerkCard_Caps_Common		001A763E:UIPerkMenuGunNut:SNDR	0		1																																				004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST										
003440CE	CUT_ExoticWeaponsMasterCard	209	Master the outlandish!	ExoticWeaponsMaster			0.000000	25	Intelligence	None	001179ED	PerkCard_Caps_Common		001A763E:UIPerkMenuGunNut:SNDR	0		1																																				004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST										
003440D9	ArmorerCard	209	You only wear custom-fit armor.	Armorer			0.000000	15	Intelligence	None	001179ED	PerkCard_Caps_Common			1	1|003440D7:Armorer01:Armorer|	3	1	003440D7	Armorer01	Armorer																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
003440DB	PowerSmithCard	209	Achieve world class defense with Power Armor prototypes.	PowerSmith			0.000000	41	Intelligence	None	001179ED	PerkCard_Caps_Common			1	1|003440DA:PowerSmith01:Power Smith|	3	1	003440DA	PowerSmith01	Power Smith																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
0034527C	CapCollectorCard	209	You've tapped the Wasteland's hidden wealth.	CapCollector			0.000000	16	Luck	None	001179F3	PerkCard_Caps_Rare		001A763A:UIPerkMenuFortuneFinder:SNDR	1	1|0004C942:CapCollector01:Cap Collector|	3	1	0004C942	CapCollector01	Cap Collector																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
00346E0D	CanDoCard	209	Your "can do" attitude keeps you alive.	CanDo			0.000000	7	Luck	None	001179ED	PerkCard_Caps_Common			1	1|00346E0A:CanDo01:Can Do!|	5	1	00346E0A	CanDo01	Can Do!																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	006DE9E5:NPE_Loadout_SluggerSelectionList:LVPC	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC						
003472CE	MysteryMeatCard	209	The side effects are harmless! Mostly...	MysteryMeat			0.000000	12	Luck	Human	0024F8D6	PerkCard_Caps_Uncommon			3	1|003472CB:MysteryMeat01:Mystery Meat| || 2|003472CC:MysteryMeat02:Mystery Meat| || 3|003472CD:MysteryMeat03:Mystery Meat|	3	1	003472CB	MysteryMeat01	Mystery Meat				2	003472CC	MysteryMeat02	Mystery Meat				3	003472CD	MysteryMeat03	Mystery Meat																		0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
0034EBCE	PharmaFarmaCard	209	Chems don't grow on trees. Or do they?	PharmaFarma			0.000000	2	Luck	None	0024F8D6	PerkCard_Caps_Uncommon			1	1|0034EBCA:PharmaFarma01:Pharma Farma|	3	1	0034EBCA	PharmaFarma01	Pharma Farma																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
00350FD8	GreenThumbCard	209	More for the picking.	GreenThumb			0.000000	4	Perception	None	001179ED	PerkCard_Caps_Common			1	1|00350FD5:GreenThumb01:Green Thumb|	3	1	00350FD5	GreenThumb01	Green Thumb																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
0035206D	IronFistCard	209	Channel your chi to unleash devastating fury!	IronFist			0.000000	2	Strength	None	001179ED	PerkCard_Caps_Common		00211CA9:UIPerkMenuIronFist:SNDR	1	1|0001DAFE:IronFist01:Iron Fist|	4	1	0001DAFE	IronFist01	Iron Fist																																0005B390:LevelUp_SelectionList:LVPC	004713BC:Challenge_Lifetime_Perks_RankUp_SUB_Strength_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	007B9AF0:ATX_Loadout_Level50_Boost_BonusCards:LVPC							
0035206C	ConcentratedFireCard	209	Stay Focused!	ConcentratedFire			0.000000	2	Perception	None	001179ED	PerkCard_Caps_Common		001A7634:UIPerkMenuConcentratedFire:SNDR	3	1|0004D890:ConcentratedFire01:Concentrated Fire| || 2|001D2459:ConcentratedFire02:Concentrated Fire| || 3|001D245A:ConcentratedFire03:Concentrated Fire|	8	1	0004D890	ConcentratedFire01	Concentrated Fire				2	001D2459	ConcentratedFire02	Concentrated Fire				3	001D245A	ConcentratedFire03	Concentrated Fire																		00048090:76CharGenStartingPerkCardsFormlist:FLST	0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E4:NPE_Loadout_GunslingerSelectionList:LVPC	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC			
00356A05	LuckOfTheDrawCard	209	Make or break, you keep fighting.	LuckOfTheDraw			0.000000	14	Luck	None	0024F8D6	PerkCard_Caps_Uncommon			3	1|00330B9A:LuckOfTheDraw01:Luck of the Draw| || 2|00356A02:LuckOfTheDraw02:Luck of the Draw| || 3|00356A03:LuckOfTheDraw03:Luck of the Draw|	6	1	00330B9A	LuckOfTheDraw01	Luck of the Draw				2	00356A02	LuckOfTheDraw02	Luck of the Draw				3	00356A03	LuckOfTheDraw03	Luck of the Draw																		0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	006DE9E3:NPE_Loadout_CommandoSelectionList:LVPC	006DE9E6:NPE_Loadout_ShotgunnerSelectionList:LVPC	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC					
00356A1D	HackerMasterCard	209	You're a ghost in the system.	HackerMaster			0.000000	38	Intelligence	None	001179ED	PerkCard_Caps_Common		001A7640:UIPerkMenuHacker:SNDR	1	1|00356A1A:HackerMaster01:Hacker Master|	4	1	00356A1A	HackerMaster01	Hacker Master																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	00744CF5::INFO							
00356A1C	HackerExpertCard	209	Exploit security vulnerabilities to hack more advanced terminal security.	HackerExpert			0.000000	22	Intelligence	None	001179ED	PerkCard_Caps_Common		001A7640:UIPerkMenuHacker:SNDR	1	1|00356A17:HackerExpert01:Hacker Expert|	3	1	00356A17	HackerExpert01	Hacker Expert																																0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
00356A0A	LuckyBreakCard	209	If it ain't broke, don't fix it!	LuckyBreak			0.000000	24	Luck	None	0024F8D6	PerkCard_Caps_Uncommon			3	1|00356A06:LuckyBreak01:Lucky Break| || 2|00356A07:LuckyBreak02:Lucky Break| || 3|00356A08:LuckyBreak03:Lucky Break|	3	1	00356A06	LuckyBreak01	Lucky Break				2	00356A07	LuckyBreak02	Lucky Break				3	00356A08	LuckyBreak03	Lucky Break																		0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
0035B80E	AdamantiumSkeletonCard	209	Your skeleton has been infused with indestructible metal!	AdamantiumSkeleton			0.000000	21	Endurance	None	001179F3	PerkCard_Caps_Rare		001A7626:UIPerkMenuAdamantiumSkeleton:SNDR	1	1|0004C92D:AdamantiumSkeleton01:Adamantium Skeleton|	4	1	0004C92D	AdamantiumSkeleton01	Adamantium Skeleton																																0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST	007B9AEF:ATX_Loadout_Level50_BoostSelectionList:LVPC							
003701B3	EscapeArtistCard	209	Hide in plain sight.	EscapeArtist			0.000000	35	Agility	None	001179F3	PerkCard_Caps_Rare			1	1|003701B2:EscapeArtist01:Escape Artist|	3	1	003701B2	EscapeArtist01	Escape Artist																																0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
003701C6	RadResistantCard	209	Exposure to the Wasteland has made you more resilient.	RadResistant			0.000000	34	Endurance	Human	001179ED	PerkCard_Caps_Common		001A72F0:UIPerkMenuRadResistance:SNDR	1	1|001D2479:RadResistant01:Rad Resistant|	3	1	001D2479	RadResistant01	Rad Resistant																																0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
003701A9	AquaBoyGirlCard	209	Water is your ally.	Aquaboy	Aquagirl		0.000000	26	Endurance	None	001179ED	PerkCard_Caps_Common		00211CA0:UIPerkMenuAquaBoy:SNDR	1	1|000E36F9:Aquaboy01:Aquaboy|000E9453:Aquagirl01:Aquagirl	4	1	000E36F9	Aquaboy01	Aquaboy	000E9453	Aquagirl01	Aquagirl																													0005B390:LevelUp_SelectionList:LVPC	0042FFCC:BabylonSoloPerkDraftCards_76:FLST	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST							
003701C5	RefractorCard	209	You must be part mirror!	Refractor			0.000000	32	Perception	None	0024F8D6	PerkCard_Caps_Uncommon		0021623F:UIPerkMenuRefractor:SNDR	1	2|000CA99D:Refractor01:Refractor|	3	2	000CA99D	Refractor01	Refractor																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
003701B7	CannibalCard	209	Feast on mortal flesh to heal your wounds!	Cannibal			0.000000	15	Endurance	None	0024F8D6	PerkCard_Caps_Uncommon		001A7630:UIPerkMenuCannibal:SNDR	1	1|0004B259:Cannibal01:Cannibal|	7	1	0004B259	Cannibal01	Cannibal																																0005B390:LevelUp_SelectionList:LVPC	0009732E:MTNM01_Mayhem:QUST	004166C7:CUT_Challenge_Weekly_Picture_Players_SUB_Player_Cannibal_Camera:CHAL	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	0054E4E3::INFO	008B4C19::INFO				
003701C4	POST_PenetratorCard	209	There's no place to hide!	Penetrator			0.000000	50	Perception	None	001179F3	PerkCard_Caps_Rare		001A72EB:UIPerkMenuPenetrator:SNDR	3	1|00024AFF:Penetrator01:Penetrator| || 2|001D2477:Penetrator02:Penetrator| || 3|003701C3:Penetrator03:Penetrator|	1	1	00024AFF	Penetrator01	Penetrator				2	001D2477	Penetrator02	Penetrator				3	003701C3	Penetrator03	Penetrator																		004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST										
003701BF	GunFuCard	209	You've learned to apply ancient martial arts to gunplay!	GunFu			0.000000	50	Agility	None	001179ED	PerkCard_Caps_Common		00211CA6:UIPerkMenuGunFu:SNDR	3	1|0004D881:GunFu01:Gun Fu| || 2|001D244F:GunFu02:Gun Fu| || 3|001D245C:GunFu03:Gun Fu|	3	1	0004D881	GunFu01	Gun Fu				2	001D244F	GunFu02	Gun Fu				3	001D245C	GunFu03	Gun Fu																		0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
003701BE	FourLeafCloverCard	209	Feeling Lucky? You should!	FourLeafClover			0.000000	29	Luck	None	0024F8D6	PerkCard_Caps_Uncommon			1	1|0004D895:FourLeafClover01:Four Leaf Clover|	3	1	0004D895	FourLeafClover01	Four Leaf Clover																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
003701BD	FireInTheHoleCard	209	Put it there!	FireInTheHole			0.000000	5	Strength	None	001179F3	PerkCard_Caps_Rare			1	1|003701BC:FireInTheHole01:Strong Arm|	3	1	003701BC	FireInTheHole01	Strong Arm																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
003701BB	CUT_LocksmithCard	209	Keep out unwanted fingers.	Locksmith			0.000000	11	Intelligence	None	001179ED	PerkCard_Caps_Common		001A7649:UIPerkMenuLocksmith:SNDR	3	1|003701B8:Locksmith01:Locksmith| || 2|003701B9:Locksmith02:Locksmith| || 3|003701BA:Locksmith03:Locksmith|	0	1	003701B8	Locksmith01	Locksmith				2	003701B9	Locksmith02	Locksmith				3	003701BA	Locksmith03	Locksmith																												
003777F8	ChemResistantCard	209	All the rush without the hassle!	ChemResistant			0.000000	43	Endurance	Human	001179ED	PerkCard_Caps_Common		001A7631:UIPerkMenuChemResistant:SNDR	2	1|0004A0D5:ChemResistant01:Chem Resistant| || 2|00065E0C:ChemResistant02:Chem Resistant|	3	1	0004A0D5	ChemResistant01	Chem Resistant				2	00065E0C	ChemResistant02	Chem Resistant																									0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
003777F9	AwarenessCard	209	To defeat your enemies, know their weaknesses!	Awareness			0.000000	20	Perception	None	001179F3	PerkCard_Caps_Rare		00211CA3:UIPerkMenuAwareness:SNDR	1	2|000D2287:Awareness01:Awareness|	4	2	000D2287	Awareness01	Awareness																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC							
