SPEL_FormID	SPEL_EDID	SPEL_FULL	SPEL_DESC	SPIT_Type	SPIT_CastType	SPIT_Delivery	SpellConditions
0017A053	DefaultChangeAssistanceLevelTo1Spell	Change NPC Assistance Level		Ability	Constant Effect	Self	
00242E5A	AbPerkBarbarian	Barbarian		Ability	Constant Effect	Self	
00019287	CameraShakeSpell	Camera Shake Spell		Spell	Fire and Forget	Self	
00006DC4	PerkOverlyGenerousRadDamage	Overly Generous Damage		Spell	Fire and Forget	Contact	
0005F9AA	HoneyBeastSpawnBeesSpell			Spell	Fire and Forget	Aimed	
0009FA29	EN07_ApplyBlastVisualEffectSpell_NukeA	Apply Blast Visual Effect		Spell	Fire and Forget	Self	
000A004B	EN07_ApplyVaporizeVisualEffectSpell	Apply Vaporize Visual Effect		Spell	Fire and Forget	Self	
002F051B	AbRaceScorchbeast	Scorchbeast Abilities		Ability	Constant Effect	Self	
0004A455	BobbleHead_STRSpell	Strength Bobblehead		Spell	Fire and Forget	Self	
002C961D	BobbleHead_PERSpell	Perception Bobblehead		Spell	Fire and Forget	Self	
002C961F	BobbleHead_ENDSpell	Endurance Bobblehead		Spell	Fire and Forget	Self	
002C9620	BobbleHead_CHASpell	Bobblehead: Charisma		Spell	Fire and Forget	Self	
002C9621	BobbleHead_INTSpell	Bobblehead: Intelligence		Spell	Fire and Forget	Self	
002C9622	BobbleHead_AGISpell	Agility Bobblehead		Spell	Fire and Forget	Self	
002C9623	BobbleHead_LCKSpell	Luck Bobblehead		Spell	Fire and Forget	Self	
002C962A	BobbleHead_BigGunsSpell	Big Guns Bobblehead		Spell	Fire and Forget	Self	
002FADC9	stealthTurretStealthSpell	Stealth Spell		Ability	Constant Effect	Self	
002FADD2	abWindingPathCreatureEffects			Ability	Constant Effect	Self	
002FAE8A	abWindingPathPlayerEffects			Ability	Constant Effect	Self	
0001C38F	BobbleHead_EnergyWeaponsSpell	Energy Gun Bobblehead		Spell	Fire and Forget	Self	
00026D6E	BobbleHead_ExplosivesSpell	Explosives Bobblehead		Spell	Fire and Forget	Self	
00026DF3	BobbleHead_LockpickingSpell	Lockpick Bobblehead		Spell	Fire and Forget	Self	
00026E66	BobbleHead_MedicineSpell	Medicine Bobblehead		Spell	Fire and Forget	Self	
000280F4	BobbleHead_MeleeSpell	Melee Bobblehead		Spell	Fire and Forget	Self	
00028189	BobbleHead_RepairSpell	Repair Bobblehead		Spell	Fire and Forget	Self	
0002819A	BobbleHead_ScienceSpell	Science Bobblehead		Spell	Fire and Forget	Self	
000281AD	BobbleHead_SmallGunsSpell	Small Guns Bobblehead		Spell	Fire and Forget	Self	
000281CC	BobbleHead_SneakSpell	Sneak Bobblehead		Spell	Fire and Forget	Self	
00028279	BobbleHead_LeaderSpell	Leader Bobblehead		Spell	Fire and Forget	Self	
00028282	BobbleHead_UnarmedSpell	Unarmed Bobblehead		Spell	Fire and Forget	Self	
0002829B	BobbleHead_CapsSpell	Caps Bobblehead		Spell	Fire and Forget	Self	
002C1D7D	crScorchbeastCloakSpell	Scorchbeast Cloak		Ability	Constant Effect	Self	
0004282A	CUT_PerkQuackSurgeonRevivee	Revived with Liquor		Spell	Fire and Forget	Self	
0012EF27	crScorchbeastDamageFieldSpell	Scorchbeast Damage Field		Spell	Concentration	Contact	
00006F95	Magazine_GrognakTheBarbarian02Spell	Grognak 2		Spell	Fire and Forget	Self	
000074B6	Magazine_GrognakTheBarbarian03Spell	Grognak 3		Spell	Fire and Forget	Self	
00007A98	Magazine_GrognakTheBarbarian04Spell	Grognak 4		Spell	Fire and Forget	Self	
00007A9C	Magazine_GrognakTheBarbarian05Spell	Grognak 5		Spell	Fire and Forget	Self	
00008D12	Magazine_GrognakTheBarbarian06Spell	Grognak 6		Spell	Fire and Forget	Self	
000090C6	Magazine_GrognakTheBarbarian07Spell	Grognak 7		Spell	Fire and Forget	Self	
000090EF	Magazine_GrognakTheBarbarian08Spell	Grognak 8		Spell	Fire and Forget	Self	
000092D5	Magazine_GrognakTheBarbarian09Spell	Grognak 9		Spell	Fire and Forget	Self	
000092DC	Magazine_GrognakTheBarbarian10Spell	Grognak 10		Spell	Fire and Forget	Self	
00009B8C	Magazine_GunsAndBullets01Spell	Guns & Bullets 1		Spell	Fire and Forget	Self	
00009CAA	Magazine_AwesomeTales01Spell	Awesome Tales 1		Spell	Fire and Forget	Self	
00009CF7	Magazine_AwesomeTales02Spell	Awesome Tales 2		Spell	Fire and Forget	Self	
0000A1FA	Magazine_AwesomeTales03Spell	Awesome Tales 3		Spell	Fire and Forget	Self	
0000A228	Magazine_AwesomeTales04Spell	Awesome Tales 4		Spell	Fire and Forget	Self	
0000A44B	Magazine_AwesomeTales05Spell	Awesome Tales 5		Spell	Fire and Forget	Self	
0000A6C1	Magazine_AwesomeTales06Spell	Awesome Tales 6		Spell	Fire and Forget	Self	
0000B1DA	Magazine_AwesomeTales07Spell	Awesome Tales 7		Spell	Fire and Forget	Self	
0000B20E	Magazine_AwesomeTales08Spell	Awesome Tales 8		Spell	Fire and Forget	Self	
0000B210	Magazine_AwesomeTales09Spell	Awesome Tales 9		Spell	Fire and Forget	Self	
0000BA14	Magazine_AwesomeTales10Spell	Awesome Tales 10		Spell	Fire and Forget	Self	
0000BA17	Magazine_AwesomeTales11Spell	Awesome Tales 11		Spell	Fire and Forget	Self	
0000BB1F	Magazine_AwesomeTales12Spell	Awesome Tales 12		Spell	Fire and Forget	Self	
0000BBC0	Magazine_AwesomeTales13Spell	Awesome Tales 13		Spell	Fire and Forget	Self	
00012E60	Magazine_GrognakTheBarbarian01Spell	Grognak 1		Spell	Fire and Forget	Self	
001ED98E	Magazine_GunsAndBullets02Spell	Guns & Bullets 2		Spell	Fire and Forget	Self	
001EDAFE	Magazine_GunsAndBullets03Spell	Guns & Bullets 3		Spell	Fire and Forget	Self	
001EFA78	Magazine_GunsAndBullets04Spell	Guns & Bullets 4		Spell	Fire and Forget	Self	
001EFAAE	Magazine_GunsAndBullets05Spell	Guns & Bullets 5		Spell	Fire and Forget	Self	
001EFC20	Magazine_GunsAndBullets06Spell	Guns & Bullets 6		Spell	Fire and Forget	Self	
001EFC23	Magazine_GunsAndBullets07Spell	Guns & Bullets 7		Spell	Fire and Forget	Self	
001EFC9F	Magazine_GunsAndBullets08Spell	Guns & Bullets 8		Spell	Fire and Forget	Self	
001EFCFE	Magazine_GunsAndBullets09Spell	Guns & Bullets 9		Spell	Fire and Forget	Self	
001EFD65	Magazine_GunsAndBullets10Spell	Guns & Bullets 10		Spell	Fire and Forget	Self	
001EFDC9	Magazine_LiveAndLove01Spell	Live & Love 1		Spell	Fire and Forget	Self	
001EFDD9	Magazine_LiveAndLove02Spell	Live & Love 2		Spell	Fire and Forget	Self	
001EFE4C	Magazine_LiveAndLove03Spell	Live & Love 3		Spell	Fire and Forget	Self	
001EFE7D	Magazine_LiveAndLove04Spell	Live & Love 4	Gain +10 Action Point Regen while on a team.	Spell	Fire and Forget	Self	
001EFE7E	Magazine_LiveAndLove05Spell	Live & Love 5		Spell	Fire and Forget	Self	
001EFE80	Magazine_LiveAndLove06Spell	Live & Love 6	Gain 5% action point regen when on a team.	Spell	Fire and Forget	Self	
001EFE83	Magazine_LiveAndLove07Spell	Live & Love 7		Spell	Fire and Forget	Self	
001EFE9F	Magazine_LiveAndLove08Spell	Live & Love 8		Spell	Fire and Forget	Self	
001EFF5A	Magazine_LiveAndLove09Spell	Live & Love 9	Gain 5% action point regen when on a team.	Spell	Fire and Forget	Self	
001F1A3D	Magazine_TeslaScience01Spell	Tesla Science 1		Spell	Fire and Forget	Self	
001F1B08	Magazine_TeslaScience02Spell	Tesla Science 2		Spell	Fire and Forget	Self	
001F1B0B	Magazine_TeslaScience03Spell	Tesla Science 3		Spell	Fire and Forget	Self	
001F1B58	Magazine_TeslaScience04Spell	Tesla Science 4		Spell	Fire and Forget	Self	
001F1B7A	Magazine_TeslaScience04Ability	Magazine		Ability	Constant Effect	Self	
001F1B7B	Magazine_TeslaScience05Spell	Tesla Science 5		Spell	Fire and Forget	Self	
001F1C75	Magazine_TeslaScience06Spell	Tesla Science 6		Spell	Fire and Forget	Self	
001F1C85	Magazine_TeslaScience07Spell	Tesla Science 7		Spell	Fire and Forget	Self	
001F1D4F	Magazine_TeslaScience08Spell	Tesla Science 8		Spell	Fire and Forget	Self	
001F398D	Magazine_TeslaScience09Spell	Tesla Science 9		Spell	Fire and Forget	Self	
0003A0BC	Wendigo_Spell	Wendigo		Spell	Fire and Forget	Self	
00164C69	WaterFountainDrinkingSulphur	Sulphur Water		Spell	Fire and Forget	Self	
0013D073	SURV_PlayerInWater			Ability	Constant Effect	Self	
00302FEF	SURV_Disease_ToxicSmokeHazardSpell	Poisonous Smoke		Spell	Concentration	Contact	
0018EF92	SURV_Disease_SludgeLung	Sludge Lung		Spell	Fire and Forget	Target Actor	
001872B8	AbPerkEMTHealthRegen01	E.M.T. Heal		Spell	Fire and Forget	Self	
0018731E	AbPerkEMTHealthRegen03	E.M.T. Heal		Spell	Fire and Forget	Self	
0018731D	AbPerkEMTHealthRegen02	E.M.T. Heal		Spell	Fire and Forget	Self	
0030B3F0	WindingPathAddEnergySpell			Spell	Fire and Forget	Self	
0030B3F1	WindingPathCollectionSpell			Spell	Fire and Forget	Contact	
0030B3F2	WindingPathCollectionPillarSpell			Spell	Fire and Forget	Contact	
0030C9DC	V94_ZapzPestControlElectricArcSpell			Spell	Fire and Forget	Aimed	
0030C9ED	V94_ReactorArcsElectricArcSpell			Spell	Fire and Forget	Aimed	
0030CA95	V94_2_RadiationTriggerSpell	Intense Radiation		Spell	Concentration	Contact	
0013D2DD	V94_RadiationHazardModerate	Moderate Radiation		Spell	Concentration	Contact	
0030F57E	Magazine_Backwoodsman01Spell	Backwoodsman 1		Spell	Fire and Forget	Self	
0030F57F	Magazine_Backwoodsman02Spell	Backwoodsman 2		Spell	Fire and Forget	Self	
0030F589	Magazine_Backwoodsman03Spell	Backwoodsman 3		Spell	Fire and Forget	Self	
0030F58A	Magazine_Backwoodsman04Spell	Backwoodsman 4		Spell	Fire and Forget	Self	
0030F592	Magazine_Backwoodsman05Spell	Backwoodsman 5		Spell	Fire and Forget	Self	
0030F593	Magazine_Backwoodsman06Spell	Backwoodsman 6		Spell	Fire and Forget	Self	
0030F59C	Magazine_Backwoodsman07Spell	Backwoodsman 7		Spell	Fire and Forget	Self	
0030F59D	Magazine_Backwoodsman08Spell	Backwoodsman 8		Spell	Fire and Forget	Self	
0030F5A3	Magazine_Backwoodsman09Spell	Backwoodsman 9		Spell	Fire and Forget	Self	
0030F5AA	Magazine_Backwoodsman10Spell	Backwoodsman 10		Spell	Fire and Forget	Self	
0030F5AE	Magazine_ScoutsLife01Spell	Scout's Life 1		Spell	Fire and Forget	Self	
0030F5AF	Magazine_ScoutsLife02Spell	Scout's Life 2		Spell	Fire and Forget	Self	
002DE658	Magazine_ScoutsLife03Spell	Scout's Life 3		Spell	Fire and Forget	Self	
00300F15	Magazine_ScoutsLife04Spell	Scout's Life 4		Spell	Fire and Forget	Self	
00312B4F	Magazine_ScoutsLife05Spell	Scout's Life 5		Spell	Fire and Forget	Self	
00312B50	Magazine_ScoutsLife06Spell	Scout's Life 6		Spell	Fire and Forget	Self	
00312B51	Magazine_ScoutsLife07Spell	Scout's Life 7		Spell	Fire and Forget	Self	
00312B52	Magazine_ScoutsLife08Spell	Scout's Life 8		Spell	Fire and Forget	Self	
00312B53	Magazine_ScoutsLife09Spell	Scout's Life 9		Spell	Fire and Forget	Self	
00312B54	Magazine_ScoutsLife10Spell	Scout's Life 10		Spell	Fire and Forget	Self	
00312B5C	Magazine_USCovertOps01Spell	U.S. Covert Ops. 1		Spell	Fire and Forget	Self	
00312B5D	Magazine_USCovertOps02Spell	U.S. Covert Ops. 2		Spell	Fire and Forget	Self	
00312B5E	Magazine_USCovertOps03Spell	U.S. Covert Ops. 3		Spell	Fire and Forget	Self	
00312B5F	Magazine_USCovertOps04Spell	U.S. Covert Ops. 4		Spell	Fire and Forget	Self	
00312B60	Magazine_USCovertOps05Spell	U.S. Covert Ops. 5		Spell	Fire and Forget	Self	
00312B61	Magazine_USCovertOps06Spell	U.S. Covert Ops. 6		Spell	Fire and Forget	Self	
00312B62	Magazine_USCovertOps07Spell	U.S. Covert Ops. 7		Spell	Fire and Forget	Self	
00312B63	Magazine_USCovertOps08Spell	U.S. Covert Ops. 8		Spell	Fire and Forget	Self	
00312B64	Magazine_USCovertOps09Spell	U.S. Covert Ops. 9		Spell	Fire and Forget	Self	
00312B65	Magazine_USCovertOps10Spell	U.S. Covert Ops. 10		Spell	Fire and Forget	Self	
002ED816	Magazine_TumblersToday01Spell	Tumblers Today 1		Spell	Fire and Forget	Self	
002ED817	Magazine_TumblersToday02Spell	Tumblers Today 2		Spell	Fire and Forget	Self	
002ED819	Magazine_TumblersToday03Spell	Tumblers Today 3		Spell	Fire and Forget	Self	
002ED81A	Magazine_TumblersToday04Spell	Tumblers Today 4		Spell	Fire and Forget	Self	
002ED81B	Magazine_TumblersToday05Spell	Tumblers Today 5		Spell	Fire and Forget	Self	
002ED823	Magazine_Unstoppables01Spell	Unstoppables 1		Spell	Fire and Forget	Self	
002ED824	Magazine_Unstoppables02Spell	Unstoppables 2		Spell	Fire and Forget	Self	
002ED825	Magazine_Unstoppables03Spell	Unstoppables 3		Spell	Fire and Forget	Self	
002ED826	Magazine_Unstoppables04Spell	Unstoppables 4		Spell	Fire and Forget	Self	
002ED828	Magazine_Unstoppables05Spell	Unstoppables 5		Spell	Fire and Forget	Self	
00185A3C	AbPerkIronStomach	Iron Stomach		Ability	Constant Effect	Self	
00187158	AbPerkNaturalResistance	Natural Resistance		Ability	Constant Effect	Self	
002BA548	AbPerkThirstQuencher	Thirst Quencher		Ability	Constant Effect	Self	
002BA56F	Magazine_AstonishingTales01Spell	Tales from the West Virginia Hills 1		Spell	Fire and Forget	Self	
002BA570	Magazine_AstonishingTales02Spell	Tales from the West Virginia Hills 2		Spell	Fire and Forget	Self	
002BA571	Magazine_AstonishingTales03Spell	Tales from the West Virginia Hills 3		Spell	Fire and Forget	Self	
002BA572	Magazine_AstonishingTales04Spell	Tales from the West Virginia Hills 4		Spell	Fire and Forget	Self	
002BA573	Magazine_AstonishingTales05Spell	Tales from the West Virginia Hills 5		Spell	Fire and Forget	Self	
0031BE4B	AbPerkRifleman	Down Ranger		Ability	Constant Effect	Self	
0031BE4D	AbPerkRiflemanExpert	Rifleman Expert		Ability	Constant Effect	Self	
0031BE4E	AbPerkRiflemanMaster	Smart Shot		Ability	Constant Effect	Self	
0031BE4F	AbPerkCommando	Center Masochist		Ability	Constant Effect	Self	
0031BE50	AbPerkCommandoExpert	Commando Expert		Ability	Constant Effect	Self	
0031BE51	AbPerkCommandoMaster	Number Cruncher		Ability	Constant Effect	Self	
0031BE52	AbPerkGunslinger	Gunslinger		Ability	Constant Effect	Self	
0031BE53	AbPerkGunslingerExpert	Gunslinger Expert		Ability	Constant Effect	Self	
0031BE54	AbPerkGunslingerMaster	Gunslinger Master		Ability	Constant Effect	Self	
0031BE55	AbPerkGuerrilla	Guerrilla		Ability	Constant Effect	Self	
0031BE56	AbPerkGuerrillaExpert	Guerrilla Expert		Ability	Constant Effect	Self	
0031BE57	AbPerkGuerrillaMaster	Guerrilla Master		Ability	Constant Effect	Self	
0031BE58	AbPerkHeavyGunner	Bullet Storm		Ability	Constant Effect	Self	
0031BE59	AbPerkHeavyGunnerExpert	Tightly Wound		Ability	Constant Effect	Self	
0031BE5A	AbPerkHeavyGunnerMaster	Heavy Gunner Master		Ability	Constant Effect	Self	
0031BE5B	AbPerkShotgunner	Easy Target		Ability	Constant Effect	Self	
0031BE5C	AbPerkShotgunnerExpert	Shotgunner Expert		Ability	Constant Effect	Self	
0031BE5D	AbPerkShotgunnerMaster	Shotgun Champ		Ability	Constant Effect	Self	
00319662	AbOnDeathForButchersBountyPerk	Set Keyword for Butchers Bounty		Ability	Constant Effect	Self	
0031D4BA	AbPerkGroundPounder	Ground Pounder		Ability	Constant Effect	Self	
0031E521	AbPerkGunRunner	Gun Runner		Ability	Constant Effect	Self	
00320161	PerkBulletShield	Bullet Shield		Spell	Fire and Forget	Self	
00320169	AbPerkLockAndLoad	Lock and Load		Ability	Constant Effect	Self	
0032235A	AbPerkScattershot	Scattershot		Ability	Constant Effect	Self	
00323F84	AbPerkEvasive1	Evasive		Ability	Constant Effect	Self	
00323F87	CUT_AbPerkEvasive2	Evasive		Ability	Constant Effect	Self	
00323F88	CUT_AbPerkEvasive3	Evasive		Ability	Constant Effect	Self	
00323F8A	zzz_AbPerkMovingTarget2	Moving Target		Ability	Constant Effect	Self	
00323F8C	zzz_AbPerkMovingTarget3	Moving Target		Ability	Constant Effect	Self	
00323F93	AbPerkMagneticPersonality	Magnetic Personality		Ability	Constant Effect	Self	
00323F95	AbPerkAquagirl	Aquagirl		Ability	Constant Effect	Self	
003264DF	AbPerkVaccinated	Vaccinated		Ability	Constant Effect	Self	
003298EB	MTR08_ApplyCollapseFXSpell	Apply Mine Collapse Effect		Spell	Fire and Forget	Self	
00329909	CameraShakeSpellIntense	Camera Shake Spell		Spell	Fire and Forget	Self	
0032990B	MTR08_CameraShakeSpellIntense	Camera Shake Spell		Spell	Fire and Forget	Self	
0032990D	MTR08_CameraShakeSpell	Camera Shake Spell		Spell	Fire and Forget	Self	
0032CB38	AbPerkPicklock1	Picklock		Ability	Constant Effect	Self	
0032CB3A	AbPerkPicklockExpert1	Picklock Expert		Ability	Constant Effect	Self	
0032CB40	AbPerkPicklockMaster1	Picklock Master		Ability	Constant Effect	Self	
00330BA1	zzzPerkBornSurvivorSpell	Auto-consume Stimpak		Spell	Fire and Forget	Self	
0033C4D8	EN07_PostNewRadWeatherSpell	Nuclear Fallout Radiation		Disease	Constant Effect	Self	
003408B4	CUT_AbPerkBarbarian03	Barbarian		Ability	Constant Effect	Self	
003408B3	CUT_AbPerkBarbarian02	Barbarian		Ability	Constant Effect	Self	
003408B1	PerkMysteriousStrangerActorStealth			Spell	Constant Effect	Self	
003440A0	AbPerkSlugger	Slugger		Ability	Constant Effect	Self	
003440AE	AbPerkGladiator	Wound Salter		Ability	Constant Effect	Self	
003440B1	AbPerkDemolitionExpert	Demolition Expert		Ability	Constant Effect	Self	
003440D1	AbPerkIronclad	Ironclad		Ability	Constant Effect	Self	
003440DC	AbPerkBodyguards01	Bodyguards		Ability	Constant Effect	Self	
003440DE	AbPerkBodyguards02	Bodyguards		Ability	Constant Effect	Self	
003440DF	AbPerkBodyguards03	Bodyguards		Ability	Constant Effect	Self	
003440E0	AbPerkBodyguards04	Bodyguards		Ability	Constant Effect	Self	
0034A899	AbPerkBornSurvivor	Born Survivor		Ability	Constant Effect	Self	
0034ADA6	MTR04_PoisonHotdog	Spoiled Hotdog		Spell	Fire and Forget	Self	
0034ADA7	MTR04_StaggerHotdog	Spoiled Hotdog		Spell	Fire and Forget	Self	
0035206B	AbPerkIronFist	Iron Fist		Ability	Constant Effect	Self	
00356A16	AbPerkHackerMaster	Hacker Master		Ability	Constant Effect	Self	
00356A12	AbPerkHacker	Hacker		Ability	Constant Effect	Self	
00356A1B	AbPerkHackerExpert	Hacker Expert		Ability	Constant Effect	Self	
00366629	AbRaceScorched	Scorched Abilities		Ability	Constant Effect	Self	
00369C0D	SFS08_CameraShakeSpell	Camera Shake Spell		Spell	Fire and Forget	Self	
0036B847	SFS08_Heart_PoisonDamageSpell	Strangler Poison		Spell	Concentration	Contact	
0036B84B	zzzSFS08_Heart_PoisonFXSpell	Strangler Poison		Spell	Concentration	Contact	
0036C7EB	AbAudioRaceCricketSoundRepeater			Ability	Constant Effect	Self	
00370E72	TW006ScorchedHunterSpell	Scorched Hunter	50% More Damage to Scorched	Spell	Fire and Forget	Self	
003713DB	Test_Tut05_VentsSpell	Invigorating Fumes		Spell	Fire and Forget	Self	
0038040D	abMothmanCombatantSpell	Mothman Combatant		Ability	Constant Effect	Self	
003808B8	PerkPhilanthropistHealThirstSmallSpell	Heal Thirst		Spell	Fire and Forget	Self	
003808C8	AbPerkTheWeird	The Weird		Ability	Constant Effect	Self	
003808CF	PerkTheWeirdRadResist03	Radiation Resistance		Ability	Constant Effect	Self	
003808CB	PerkTheWeirdRadResist02	Radiation Resistance		Ability	Constant Effect	Self	
003808D1	AbPerkStrangeInNumbers	Strange In Numbers		Ability	Constant Effect	Self	
003808CD	PerkTheWeirdRadResist01	Radiation Resistance		Ability	Constant Effect	Self	
003808BA	PerkPhilanthropistHealThirstMediumSpell	Heal Thirst		Spell	Fire and Forget	Self	
003808B9	PerkPhilanthropistHealHungerMediumSpell	Heal Hunger		Spell	Fire and Forget	Self	
003808B1	AbPerkPhilanthropist	Philanthropist		Ability	Constant Effect	Self	
003808B7	PerkPhilanthropistHealHungerSmallSpell	Heal Hunger		Spell	Fire and Forget	Self	
003808AB	AbPerkRadSponge	Rad Sponge		Ability	Constant Effect	Self	
003808BB	PerkPhilanthropistHealHungerLargeSpell	Heal Hunger		Spell	Fire and Forget	Self	
003808BC	PerkPhilanthropistHealThirstLargeSpell	Heal Thirst		Spell	Fire and Forget	Self	
00382A4E	AbPerkTeamMedic	Medic		Ability	Constant Effect	Self	
00382A52	PerkTeamMedicHealSpell	Local Practitioner Heal		Spell	Fire and Forget	Self	
00382A50	PerkTeamMedicHealWeakSpell	Local Practitioner Weak Heal		Spell	Fire and Forget	Self	
00382A53	PerkTeamMedicHealSuperSpell	Local Practitioner Super Heal		Spell	Fire and Forget	Self	
003873F5	EpicRankUpFX_Spell			Spell	Fire and Forget	Target Actor	
003879AC	AbRaceHoneyBeast	Honey Beast Abilities		Ability	Constant Effect	Self	
003896E9	PerkSpiritualHealer	Spiritual Healer		Spell	Fire and Forget	Self	
003896F3	AbPerkDeadManSprinting	Dead Man Sprinting		Ability	Constant Effect	Self	
003896EF	PerkHealingHandsSpell	Healing Hands		Spell	Fire and Forget	Self	
00389CC8	AbRaceTick	Tick Abilities		Ability	Constant Effect	Self	
0038AB89	PerkInjector01Spell	Injector		Spell	Fire and Forget	Self	
0038AB8F	AbPerkSecretAgent	Secret Agent		Ability	Constant Effect	Self	
0038DC42	SURV_Disease_Parasites_PerioidicFoodLoss			Spell	Fire and Forget	Target Actor	
00391F20	AbPerkLastLaugh	Last Laugh		Ability	Constant Effect	Self	
00391F1B	AbPerkStormChaser	Storm Chaser		Ability	Constant Effect	Self	
00393F7B	AbPerkRadicool	Radicool		Ability	Constant Effect	Self	
00393F61	AbPerkGlowSight	Glow Sight		Ability	Constant Effect	Self	
00393F73	AbPerkSunKissed	Sun Kissed		Ability	Constant Effect	Self	
00393F56	AbPerkFireproof	Fireproof		Ability	Constant Effect	Self	
00393F67	AbPerkGrenadier	Grenadier		Ability	Constant Effect	Self	
00393F6F	AbPerkHomebody	Homebody		Ability	Constant Effect	Self	
00397CBD	zzz_PerkAdrenalineBuffSpell	Adrenaline		Spell	Fire and Forget	Self	
00397CB5	AbPerkRevenant	Revenant		Ability	Constant Effect	Self	
00397CB6	PerkRevenantSpell	Revenant		Spell	Fire and Forget	Self	
00398930	AbRaceFlatwoodsMonster	Flatwoods Monster Abilities		Ability	Constant Effect	Self	
00398932	AbRaceGrafton	Grafton Abilities		Ability	Constant Effect	Self	
003989C1	AbRaceHoneyBeastBeeSwarm	Bee Swarm Abilities		Ability	Constant Effect	Self	
003989C3	AbRaceLiberator	Liberator Abilities		Ability	Constant Effect	Self	
00398B36	AbRaceMegaSloth	Mega Sloth Abilities		Ability	Constant Effect	Self	
00398B3B	AbRaceMoleMiner	Mole Miner Abilities		Ability	Constant Effect	Self	
0039A01D	AbRaceRadtoad	Radtoad Abilities		Ability	Constant Effect	Self	
0039AE10	AbRaceSnallygaster	Snallygaster Abilities		Ability	Constant Effect	Self	
0039AF7F	AbRaceWendigo	Wendigo Abilities		Ability	Constant Effect	Self	
003A4A4F	PerkPacifyCooldown	Perk Pacify Cooldown		Spell	Constant Effect	Self	
003A4A51	PerkIncite	Perk Incite		Spell	Constant Effect	Self	
003B35CD	AbAudioRaceCritterRadSquirrelSoundRepeater			Ability	Constant Effect	Self	
003B9848	Trap_Disease_BoneWorms_Spell			Spell	Fire and Forget	Target Actor	
003BD78A	GraftonLaunchOilBombSalvoSpell			Spell	Fire and Forget	Aimed	
003BDC8E	MTNZ03_OverheatStrongSpell	Black Box Overheating		Spell	Fire and Forget	Contact	
003BDC8F	MTNZ03_OverheatDeadlySpell	Black Box Overheating		Spell	Fire and Forget	Contact	
003BDC8D	MTNZ03_OverheatLightSpell	Black Box Overheating		Spell	Fire and Forget	Contact	
003BEF03	TWZ05RewardSpell	Mirelurk Marauder		Spell	Fire and Forget	Self	
003C2E05	WaterRadiationSevereHazard	Severe Water Radiation		Disease	Constant Effect	Self	
003C30DE	AbPerkTravelAgent	Travel Agent		Ability	Constant Effect	Self	
003C4045	Mutation_EggHead	Egg Head		Ability	Constant Effect	Self	
003C4037	Mutation_EagleEyes	Eagle Eyes		Ability	Constant Effect	Self	
003C4049	Mutation_Carnivore	Carnivore		Ability	Constant Effect	Self	
003C402F	Mutation_TwistedMuscles	Twisted Muscles		Ability	Constant Effect	Self	
003C404E	Mutation_Herbivore	Herbivore		Ability	Constant Effect	Self	
003C403D	Mutation_BirdBones	Bird Bones		Ability	Constant Effect	Self	
003CD03B	SURV_Disease_SwampItch	Swamp Itch		Spell	Fire and Forget	Target Actor	
003CD033	SURV_WellRested2	Well Rested		Spell	Fire and Forget	Self	
003D2949	abPerkDodgy	Dodgy		Ability	Constant Effect	Self	
003D2959	AbPerkAntibiotic	Antibiotic		Ability	Constant Effect	Self	
003DBBD7	AbAudioRaceHoneybeastSoundRepeater			Ability	Constant Effect	Self	
003DE595	CUT_PerkSuppressor01Spell	Suppressor		Spell	Fire and Forget	Self	
003DF045	SURV_Disease_WeepingSores	Weeping Sores		Spell	Fire and Forget	Target Actor	
003DF043	SURV_Disease_BloodWorms	Blood Worms		Spell	Fire and Forget	Target Actor	
003DF041	SURV_Disease_RadWorms	Rad Worms		Spell	Fire and Forget	Target Actor	
003DF244	zzz_RECLAIM_LunchboxRewards_NearbySpell	Rewards Nearby Actor Spell		Spell	Fire and Forget	Self	
003E21E9	AbPerkJunkShield02	Junk Shield		Ability	Constant Effect	Self	
003E21F8	PerkTenderizer01Spell	Tenderizer		Spell	Fire and Forget	Self	
003E21FC	PerkTenderizer03Spell	Tenderizer		Spell	Fire and Forget	Self	
003E21EB	AbPerkJunkShield03	Junk Shield		Ability	Constant Effect	Self	
003E21E7	AbPerkJunkShield01	Junk Shield		Ability	Constant Effect	Self	
003E21F3	CUT_PerkSuppressor02Spell	Suppressor		Spell	Fire and Forget	Self	
003E21F5	CUT_PerkSuppressor03Spell	Suppressor		Spell	Fire and Forget	Self	
003E21FB	PerkTenderizer02Spell	Tenderizer		Spell	Fire and Forget	Self	
003E5F72	AbAudioRaceScorchedASoundRepeater			Ability	Constant Effect	Self	
003E7F6C	SURV_DiseasedCreatureChance_abDiseasedCreature			Ability	Constant Effect	Self	
003E956B	PerkFriendlyFire01Spell	Friendly Fire		Spell	Fire and Forget	Self	
003E9566	AbPerkMartialArtist	Martial Artist		Ability	Constant Effect	Self	
003E9D8F	MTNS06_CameraShakeSpellIntense	Camera Shake Spell		Spell	Fire and Forget	Self	
004A4A59	SURV_Disease_WeepingSores_OnHit	Bleeding (Weeping Sores)		Spell	Fire and Forget	Target Actor	
004B009D	SURV_Disease_ShellShock_OnHit	Drain (Shell Shock)		Spell	Fire and Forget	Target Actor	
004B0095	SURV_Disease_GlowingPustules	Glowing Pustules		Spell	Fire and Forget	Target Actor	
